source_id,author,year,title,doi,url,design,population,medication,stage,measurement,locator,accessed,primary_source
S12,Xu et al.,2021,Brain iron assessment in patients with First-episode schizophrenia using quantitative susceptibility mapping,10.1016/j.nicl.2021.102736,https://pmc.ncbi.nlm.nih.gov/articles/PMC8254125/,case-control MRI/QSM study,30 first-episode schizophrenia;30 matched controls,do not infer naive from first episode,first episode,QSM/R2* and manually delineated regional volumes are separate endpoints,Table 3 regional volumes; abstract/highlights,2026-09-08,True
S13,Marner et al.,2005,Increased volume of the pigmented neurons in the locus coeruleus of schizophrenic subjects: a stereological study,10.1016/j.jpsychires.2004.10.008,https://pubmed.ncbi.nlm.nih.gov/15804384/,postmortem stereology,chronic schizophrenia and control brains,historical exposure; fixation times differ,chronic/postmortem,pigmented-neuron perikaryon volume and neuron count; not nucleus MRI volume,Abstract,2026-09-08,True
S14,Lohr and Jeste,1988,Locus ceruleus morphometry in aging and schizophrenia,10.1111/j.1600-0447.1988.tb05189.x,https://pubmed.ncbi.nlm.nih.gov/3044009/,primary quantitative neuropathology,15 leucotomized schizophrenia;11 leucotomized non-SCZ;13 normative,most schizophrenia deaths pre-neuroleptic era; leucotomy confounding,historical postmortem; age 11-94 across sample,whole LC histological volume and cell morphology,Abstract,2026-09-08,True
S15,Mahdiar et al.,2023,Raphe Nuclei Echogenicity and Diameter of Third Ventricle in Schizophrenia Measured by Transcranial Sonography,10.32598/bcn.2021.1604.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10693814/,case-control transcranial sonography,30 schizophrenia;30 controls,not established in extracted abstract,clinical schizophrenia,semiquantitative brainstem raphe echogenicity; not MRI volume,Abstract Results,2026-09-08,True
S16,Moussa-Tooks et al.,2022,Cerebellar Structure and Cognitive Ability in Psychosis,10.1016/j.biopsych.2022.03.013,https://pmc.ncbi.nlm.nih.gov/articles/PMC9378489/,SUIT regional volumetry and VBM; cognitive subgroup study,249 SSD;108 psychotic bipolar;217 controls,CPZ correlates analyzed; observational,122 early/127 chronic SSD; early <=2 years,10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM,Results diagnosis/stage; Figure 1; cognitive subgroups Figure 2; Supplementary Figures 6-8,2026-09-08,True
S17,Chand et al.,2020,Two distinct neuroanatomical subtypes of schizophrenia revealed using machine learning,10.1093/brain/awaa025,https://pmc.ncbi.nlm.nih.gov/articles/PMC7089665/,3-site discovery of neuroanatomical subtypes,307 schizophrenia;364 controls,subtype difference not explained by recorded dose; not randomized,established illness,regional GM/WM/CSF volume; data-derived subtype associations,Abstract; Figures 2 and 5; Discussion,2026-09-08,True
S18,Chopra et al.,2021,"Differentiating the effect of antipsychotic medication and illness on brain volume reductions in first-episode psychosis: A Longitudinal, Randomised, Triple-blind, Placebo-controlled MRI Study",10.1038/s41386-021-00980-0,https://pmc.ncbi.nlm.nih.gov/articles/PMC8209146/,randomized triple-blind placebo-controlled longitudinal MRI,62 initially naive FEP;27 controls,risperidone/paliperidone versus placebo; both psychosocial therapy,baseline to3-month primary;12-month secondary,VBM pallidal GM volume cluster; treatment-time interaction,Abstract; Figure 3 right pallidum,2026-09-08,True
S19,Zhou et al.,2025,Macro- and Microstructural Alterations in the Midbrain in Early Psychosis Associates with Clinical Symptom Scores,10.1523/ENEURO.0361-24.2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC11927052/,multimodal case-control HCP-EP analysis,123 early psychosis;53 T1 controls (56 diffusion controls),97 with lifetime exposure;26 without; not naive cohort,within5 years; affective and nonaffective psychosis,"DBM Jacobian, VBM, DTI analyzed separately",Results DBM/VBM; Figures1-4; Methods,2026-09-08,True
S20,Lee et al.,2020,Common gray and white matter abnormalities in schizophrenia and bipolar disorder,10.1371/journal.pone.0232826,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0232826,case-control VBM,65 schizophrenia;65 bipolar;65 controls; SCZ comparisons retained,clinically stable and unchanged medication >=3months,duration>1year,SPM8 DARTEL modulated GM volume maps;8mm smoothing,Table2; Results3.2; S1 regional table,2026-09-08,True
S21,Ren et al.,2024,Correlation Between Cortical Thickness Abnormalities of the Olfactory Sulcus and Olfactory Identification Disorder and Persistent Auditory Verbal Hallucinations in Chinese Patients With Chronic Schizophrenia,10.1093/schbul/sbae040,https://pubmed.ncbi.nlm.nih.gov/38577952/,case-control cortical thickness with hallucination subgroups,chronic schizophrenia with/without persistent AVH and controls,clinical sample; medication confounding retained,chronic; pAVH subtype,right olfactory/medial orbital sulcus cortical thickness,Abstract Study Results,2026-09-08,True
S22,Mäki-Marttunen et al.,2026,Thalamic nuclei volumes across psychiatric and neurological disorders: a multi-site magnetic resonance imaging study,10.1038/s41398-026-04076-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC13338419/,multi-condition regional volumetry,600 SCZ;1150 controls in SCZ contrast; other diagnoses separate,mixed; not causal treatment contrast,mixed clinical stages,FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate,Table2; Results; Figures2 and4; Supplementary Tables,2026-09-08,True
S23,Perez-Rando et al.,2022,Alterations in the volume of thalamic nuclei in patients with schizophrenia and persistent auditory hallucinations,10.1016/j.nicl.2022.103070,https://pmc.ncbi.nlm.nih.gov/articles/PMC9168692/,hallucination-subgroup volumetry,schizophrenia with/without auditory hallucinations and matched controls,clinical medication context; not randomized,persistent auditory hallucinations analyzed separately,FreeSurfer individual thalamic nuclear volumes,Table3; Results3.3-3.4; internal PuI direction inconsistency retained,2026-09-08,True
S24,Yamashita et al.,2016,Detection of changes in the ventral tegmental area of patients with schizophrenia using neuromelanin-sensitive MRI,10.1097/WNR.0000000000000530,https://pubmed.ncbi.nlm.nih.gov/26901057/,neuromelanin MRI case-control,14 schizophrenia;22 controls,clinical cohort; not established in extracted abstract,clinical schizophrenia,neuromelanin-sensitive VTA/SNc signal; not GM probability/intensity,Abstract,2026-09-08,True
