disease,Field_ID,description,unit,relationship,baseline_factor_ancestry,shared_risk_factors,risk_factor_coefficients,continuous_score_covariance_with_factor_risk,predictor_use,interpretation
E4_HYPERPARA,23130,Trunk predicted mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23105,Basal metabolic rate,kJ/day,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23099,Body fat percentage,%,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23100,Whole body fat mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23101,Whole body fat-free mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23102,Whole body water mass,kg,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23106,Impedance of whole body,ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23110,Impedance of arm (left),ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23109,Impedance of arm (right),ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23108,Impedance of leg (left),ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,23107,Impedance of leg (right),ohm,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,3062,Forced vital capacity (FVC),L,indirect_shared_factor,activity;adiposity;age;sex,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,3063,Forced expiratory volume in 1-second (FEV1),L,indirect_shared_factor,activity;adiposity;age;sex;smoking,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,20258,FEV1/ FVC ratio Z-score,z-score,indirect_shared_factor,activity;age;smoking,age,"{""age"": 0.35}",-0.034999999999999996,Gaussian observation,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,3064,Peak expiratory flow (PEF),L/min,indirect_shared_factor,activity;adiposity;age;sex;smoking,age;sex,"{""age"": 0.35, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,20022,Birth weight,kg,neutral,education;smoking,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,2634,Duration of heavy DIY,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,2624,Frequency of heavy DIY in last 4 weeks,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1021,Duration of light DIY,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1011,Frequency of light DIY in last 4 weeks,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,894,Duration of moderate activity,minutes/day,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,3647,Duration of other exercises,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,3637,Frequency of other exercises in last 4 weeks,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,914,Duration of vigorous activity,minutes/day,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,874,Duration of walks,minutes/day,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,981,Duration walking for pleasure,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,971,Frequency of walking for pleasure in last 4 weeks,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,943,Frequency of stair climbing in last 4 weeks,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,884,Number of days/week of moderate physical activity 10+ minutes,days/week,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,904,Number of days/week of vigorous physical activity 10+ minutes,days/week,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,864,Number of days/week walked 10+ minutes,days/week,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1090,Time spent driving,hours/day,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1080,Time spent using computer,hours/day,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1070,Time spent watching television (TV),hours/day,neutral,activity,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,924,Usual walking pace,category code,indirect_shared_factor,activity;age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1120,Weekly usage of mobile phone in last 3 months,category code,indirect_shared_factor,age;education,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1130,Hands-free device/speakerphone use with mobile phone in last 3 month,category code,indirect_shared_factor,age;education,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,2237,Plays computer games,category code,indirect_shared_factor,age;education,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1160,Sleep duration,hours/day,neutral,sleep,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1170,Getting up in morning,category code,neutral,anxiety;sleep,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1180,Morning/evening person (chronotype),category code,neutral,anxiety;sleep,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1190,Nap during day,category code,neutral,anxiety;sleep,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1200,Sleeplessness / insomnia,category code,neutral,anxiety;sleep,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1210,Snoring,category code,indirect_shared_factor,adiposity;sex,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1220,Daytime dozing / sleeping,category code,neutral,anxiety;sleep,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,20116,Smoking status,category code,indirect_shared_factor,age;smoking,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1239,Current tobacco smoking,category code,indirect_shared_factor,age;smoking,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1249,Past tobacco smoking,category code,indirect_shared_factor,age;smoking,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,20161,Pack years of smoking,pack-years,neutral,smoking,,{},,censored Gaussian observation,no active risk path in this model
E4_HYPERPARA,1259,Smoking/smokers in household,category code,neutral,smoking,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1269,Exposure to tobacco smoke at home,hours/week,neutral,smoking,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1279,Exposure to tobacco smoke outside home,hours/week,neutral,smoking,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1289,Cooked vegetable intake,tablespoons/day,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1299,Salad / raw vegetable intake,tablespoons/day,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1309,Fresh fruit intake,pieces/day,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1319,Dried fruit intake,pieces/day,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1438,Bread intake,slices/week,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1458,Cereal intake,bowls/week,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1488,Tea intake,cups/day,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1498,Coffee intake,cups/day,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1528,Water intake,glasses/day,neutral,activity;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1518,Hot drink temperature,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1329,Oily fish intake,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1339,Non-oily fish intake,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1349,Processed meat intake,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1359,Poultry intake,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1369,Beef intake,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1379,Lamb/mutton intake,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1389,Pork intake,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1408,Cheese intake,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1478,Salt added to food,category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,6144,"Never eat eggs, dairy, wheat, sugar",category code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,20117,Alcohol drinker status,category code,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1558,Alcohol intake frequency.,category code,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1568,Average weekly red wine intake,glasses/week,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1578,Average weekly champagne plus white wine intake,glasses/week,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1588,Average weekly beer plus cider intake,pints/week,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1598,Average weekly spirits intake,measures/week,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1608,Average weekly fortified wine intake,glasses/week,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1618,Alcohol usually taken with meals,category code,neutral,alcohol;education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1050,Time spend outdoors in summer,hours/day,neutral,activity;uv,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1060,Time spent outdoors in winter,hours/day,neutral,activity;uv,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1717,Skin colour,category code,neutral,pigmentation,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1727,Ease of skin tanning,category code,neutral,pigmentation,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1737,Childhood sunburn occasions,occasions,neutral,pigmentation;uv,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1747,"Hair colour (natural, before greying)",category code,neutral,pigmentation,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1757,Facial ageing,category code,indirect_shared_factor,age;uv,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,2267,Use of sun/uv protection,category code,neutral,education;pigmentation,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,2277,Frequency of solarium/sunlamp use,occasions,neutral,uv,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,2139,Age first had sexual intercourse,years,indirect_shared_factor,age;education,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,2149,Lifetime number of sexual partners,partners,neutral,alcohol,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,2159,Ever had same-sex intercourse,binary code,neutral,,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1677,Breastfed as a baby,binary code,neutral,education,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1777,Part of a multiple birth,binary code,neutral,,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,1787,Maternal smoking around birth,binary code,neutral,education;smoking,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,2946,Father's age,years,indirect_shared_factor,age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1807,Father's age at death,years,indirect_shared_factor,age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,1845,Mother's age,years,indirect_shared_factor,age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,3526,Mother's age at death,years,indirect_shared_factor,age,age,"{""age"": 0.35}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,4501,Non-accidental death in close genetic family,binary code,neutral,,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,2188,"Long-standing illness, disability or infirmity",binary code,indirect_shared_factor,age;anxiety;inflammation;renal,age;renal,"{""age"": 0.35, ""renal"": 0.25}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30160,Basophill count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30220,Basophill percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30150,Eosinophill count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30210,Eosinophill percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30030,Haematocrit percentage,%,indirect_shared_factor,alcohol;immune;renal;sex;smoking,renal;sex,"{""renal"": 0.25, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30020,Haemoglobin concentration,g/dL,indirect_shared_factor,alcohol;immune;renal;sex;smoking,renal;sex,"{""renal"": 0.25, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30300,High light scatter reticulocyte count,10^12 cells/L,indirect_shared_factor,alcohol;immune;renal;sex;smoking,renal;sex,"{""renal"": 0.25, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30290,High light scatter reticulocyte percentage,%,neutral,immune,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30280,Immature reticulocyte fraction,ratio,neutral,,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30120,Lymphocyte count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30180,Lymphocyte percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30050,Mean corpuscular haemoglobin,pg,indirect_shared_factor,alcohol;immune;renal;sex;smoking,renal;sex,"{""renal"": 0.25, ""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30060,Mean corpuscular haemoglobin concentration,g/dL,neutral,immune,,{},,Gaussian observation,no active risk path in this model
E4_HYPERPARA,30040,Mean corpuscular volume,fL,neutral,alcohol;immune,,{},,Gaussian observation,no active risk path in this model
E4_HYPERPARA,30100,Mean platelet (thrombocyte) volume,fL,neutral,inflammation,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30260,Mean reticulocyte volume,fL,neutral,alcohol;immune,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30270,Mean sphered cell volume,fL,neutral,alcohol;immune,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30130,Monocyte count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30190,Monocyte percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30140,Neutrophill count,10^9 cells/L,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30200,Neutrophill percentage,%,indirect_shared_factor,immune;inflammation;sex;smoking,sex,"{""sex"": -0.18}",,not in conditioning subset,baseline shared-factor relationship; no empirical effect estimate
E4_HYPERPARA,30170,Nucleated red blood cell count,10^9 cells/L,neutral,,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30230,Nucleated red blood cell percentage,%,neutral,,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30080,Platelet count,10^9 cells/L,neutral,inflammation,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30090,Platelet crit,%,neutral,inflammation,,{},,not in conditioning subset,no active risk path in this model
E4_HYPERPARA,30110,Platelet distribution width,%,neutral,,,{},,not in conditioning subset,no active risk path in this model
