atlas,column_index,label_id,feature_name,disease,coverage_status,evidence_consistency,effect_mode,literature_d_median,source_d_values,model_latent_sd_shift,quantitative_sign_conflict,selected_association_ids,modeling_assumption
FIRST,9,17,L_Hippocampus,AD,direct,see_individual_associations,source_median_numeric_volume,-2.036,"{""Fjell2010"": -2.57, ""Ledig2018"": -1.502}",-1.3234,False,A00029;A00806,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,9,17,L_Hippocampus,MCI,direct,see_individual_associations,source_median_numeric_volume,-1.76,"{""Fjell2010"": -1.76, ""Ledig2018"": -1.062226, ""MCI2016"": -2.211814}",-1.144,False,A00025;A00808;A00121,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,10,53,R_Hippocampus,AD,direct,see_individual_associations,source_median_numeric_volume,-1.9249999999999998,"{""Fjell2010"": -2.57, ""Ledig2018"": -1.28}",-1.25125,False,A00030;A00810,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,10,53,R_Hippocampus,MCI,direct,see_individual_associations,source_median_numeric_volume,-1.166798,"{""Fjell2010"": -1.76, ""Ledig2018"": -1.040481, ""MCI2016"": -1.166798}",-0.758419,False,A00026;A00812;A00119,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,11,18,L_Amygdala,AD,direct,see_individual_associations,source_median_numeric_volume,-1.7315,"{""Fjell2010"": -2.06, ""Ledig2018"": -1.403}",-1.125475,False,A00013;A00814,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,11,18,L_Amygdala,MCI,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.828799,"{""Fjell2010"": -1.2, ""Ledig2018"": -0.828799, ""MCI2016"": -0.592406}",-0.538719,False,A00009;A00816;A00125,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,12,54,R_Amygdala,AD,direct,see_individual_associations,source_median_numeric_volume,-1.756,"{""Fjell2010"": -2.06, ""Ledig2018"": -1.452}",-1.1414,False,A00014;A00818,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,12,54,R_Amygdala,MCI,direct,see_individual_associations,source_median_numeric_volume,-1.124087,"{""Fjell2010"": -1.2, ""Ledig2018"": -0.84817, ""MCI2016"": -1.124087}",-0.730657,False,A00010;A00820;A00123,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,13,26,L_Accumbens,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.5935,"{""Fjell2010"": -0.73, ""Ledig2018"": -0.457}",-0.385775,False,A00005;A00772,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,13,26,L_Accumbens,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.4325,"{""Banerjee2025"": -0.395, ""Fjell2010"": -0.47, ""Ledig2018"": -0.31778, ""MCI2016"": -0.891386}",-0.281125,False,A00478;A00001;A00776;A00129,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,14,58,R_Accumbens,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.5935,"{""Fjell2010"": -0.73, ""Ledig2018"": -0.457}",-0.385775,False,A00006;A00773,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
FIRST,14,58,R_Accumbens,MCI,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.4375,"{""Banerjee2025"": -0.405, ""Fjell2010"": -0.47, ""Ledig2018"": -0.31778, ""MCI2016"": -0.663092}",-0.284375,False,A00480;A00002;A00777;A00127,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,0,1,Precentral_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.4370515,"{""Frontal2026"": -0.773103, ""Ledig2018"": -0.101}",-0.284083,False,A00353;A00716,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,0,1,Precentral_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,-0.194243,"{""Frontal2026"": -0.402906, ""Ledig2018"": 0.01442}",-0.063129,True,A00355;A00718,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,1,2,Precentral_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.4370515,"{""Frontal2026"": -0.773103, ""Ledig2018"": -0.101}",-0.284083,False,A00354;A00717,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,1,2,Precentral_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,-0.194243,"{""Frontal2026"": -0.402906, ""Ledig2018"": 0.01442}",-0.063129,True,A00356;A00719,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,2,3,Frontal_Sup_2_L,AD,parent_region_extrapolation,mixed_significance_or_measurement,source_median_numeric_volume,-0.427918,"{""Frontal2026"": -0.456836, ""Ledig2018"": -0.399}",-0.278147,False,A00333;A00648,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,2,3,Frontal_Sup_2_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.017482499999999998,"{""Frontal2026"": 0.253633, ""Ledig2018"": -0.218668}",0.005682,True,A00335;A00650,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,3,4,Frontal_Sup_2_R,AD,parent_region_extrapolation,mixed_significance_or_measurement,source_median_numeric_volume,-0.427918,"{""Frontal2026"": -0.456836, ""Ledig2018"": -0.399}",-0.278147,False,A00334;A00649,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,3,4,Frontal_Sup_2_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.017482499999999998,"{""Frontal2026"": 0.253633, ""Ledig2018"": -0.218668}",0.005682,True,A00336;A00651,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,4,5,Frontal_Mid_2_L,AD,parent_region_extrapolation,mixed_significance_or_measurement,source_median_numeric_volume,-0.7174635,"{""Frontal2026"": -1.005927, ""Ledig2018"": -0.429}",-0.466351,False,A00329;A00644,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,4,5,Frontal_Mid_2_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.190182,"{""Frontal2026"": -0.118631, ""Ledig2018"": -0.261733}",-0.123618,False,A00331;A00646,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,5,6,Frontal_Mid_2_R,AD,parent_region_extrapolation,mixed_significance_or_measurement,source_median_numeric_volume,-0.7174635,"{""Frontal2026"": -1.005927, ""Ledig2018"": -0.429}",-0.466351,False,A00330;A00645,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,5,6,Frontal_Mid_2_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.190182,"{""Frontal2026"": -0.118631, ""Ledig2018"": -0.261733}",-0.123618,False,A00332;A00647,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,6,7,Frontal_Inf_Oper_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.24720550000000002,"{""Frontal2026"": -0.324411, ""Ledig2018"": -0.17}",-0.160684,False,A00317;A00656,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,6,7,Frontal_Inf_Oper_L,MCI,direct,conflicting_directions,source_median_numeric_volume,0.0995295,"{""Frontal2026"": 0.328085, ""Ledig2018"": -0.129026}",0.032347,True,A00319;A00658,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,7,8,Frontal_Inf_Oper_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.24720550000000002,"{""Frontal2026"": -0.324411, ""Ledig2018"": -0.17}",-0.160684,False,A00318;A00657,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,7,8,Frontal_Inf_Oper_R,MCI,direct,conflicting_directions,source_median_numeric_volume,0.0995295,"{""Frontal2026"": 0.328085, ""Ledig2018"": -0.129026}",0.032347,True,A00320;A00659,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,8,9,Frontal_Inf_Tri_L,AD,parent_region_extrapolation,mixed_significance_or_measurement,source_median_numeric_volume,-0.302326,"{""Frontal2026"": -0.257652, ""Ledig2018"": -0.347}",-0.196512,False,A00325;A00652,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,8,9,Frontal_Inf_Tri_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.2397125,"{""Frontal2026"": -0.207614, ""Ledig2018"": -0.271811}",-0.155813,False,A00327;A00654,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,9,10,Frontal_Inf_Tri_R,AD,parent_region_extrapolation,mixed_significance_or_measurement,source_median_numeric_volume,-0.302326,"{""Frontal2026"": -0.257652, ""Ledig2018"": -0.347}",-0.196512,False,A00326;A00653,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,9,10,Frontal_Inf_Tri_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.2397125,"{""Frontal2026"": -0.207614, ""Ledig2018"": -0.271811}",-0.155813,False,A00328;A00655,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,10,11,Frontal_Inf_Orb_2_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.209131,"{""Frontal2026"": -0.205262, ""Ledig2018"": -0.213}",-0.135935,False,A00321;A00660,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,10,11,Frontal_Inf_Orb_2_L,MCI,direct,conflicting_directions,source_median_numeric_volume,0.03369899999999999,"{""Frontal2026"": 0.164399, ""Ledig2018"": -0.097001}",0.010952,True,A00323;A00662,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,11,12,Frontal_Inf_Orb_2_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.209131,"{""Frontal2026"": -0.205262, ""Ledig2018"": -0.213}",-0.135935,False,A00322;A00661,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,11,12,Frontal_Inf_Orb_2_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.03369899999999999,"{""Frontal2026"": 0.164399, ""Ledig2018"": -0.097001}",0.010952,True,A00324;A00663,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,12,13,Rolandic_Oper_L,AD,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.074,"{""Ledig2018"": -0.074}",-0.0481,False,A00720,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,12,13,Rolandic_Oper_L,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.126691,"{""Ledig2018"": -0.126691}",-0.082349,False,A00722,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,13,14,Rolandic_Oper_R,AD,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.074,"{""Ledig2018"": -0.074}",-0.0481,False,A00721,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,13,14,Rolandic_Oper_R,MCI,direct,see_individual_associations,source_median_numeric_volume,-0.126691,"{""Ledig2018"": -0.126691}",-0.082349,False,A00723,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,14,15,Supp_Motor_Area_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.2575395,"{""Frontal2026"": -0.355079, ""Ledig2018"": -0.16}",-0.167401,False,A00369;A00696,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,14,15,Supp_Motor_Area_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,-0.016019999999999993,"{""Frontal2026"": 0.110321, ""Ledig2018"": -0.142361}",-0.005206,True,A00371;A00698,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,15,16,Supp_Motor_Area_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.2575395,"{""Frontal2026"": -0.355079, ""Ledig2018"": -0.16}",-0.167401,False,A00370;A00697,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,15,16,Supp_Motor_Area_R,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,-0.016019999999999993,"{""Frontal2026"": 0.110321, ""Ledig2018"": -0.142361}",-0.005206,True,A00372;A00699,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,16,17,Olfactory_L,AD,direct,see_individual_associations,directional_GMV_assumption,,{},-0.3,False,A00524;A00526,"Fixed latent-SD magnitude for qualitative GMV direction only. Indirect PET/contrast/thickness effects never substituted as volume d. Zero center is an unresolved modeling hypothesis, not evidence of no disease association."
AAL3,16,17,Olfactory_L,MCI,direct,see_individual_associations,weak_parent_direction_assumption,,{},-0.08,False,A00294,"Fixed latent-SD magnitude for qualitative GMV direction only. Indirect PET/contrast/thickness effects never substituted as volume d. Zero center is an unresolved modeling hypothesis, not evidence of no disease association."
AAL3,17,18,Olfactory_R,AD,direct,see_individual_associations,directional_GMV_assumption,,{},-0.3,False,A00525;A00527,"Fixed latent-SD magnitude for qualitative GMV direction only. Indirect PET/contrast/thickness effects never substituted as volume d. Zero center is an unresolved modeling hypothesis, not evidence of no disease association."
AAL3,17,18,Olfactory_R,MCI,direct,see_individual_associations,weak_parent_direction_assumption,,{},-0.08,False,A00280,"Fixed latent-SD magnitude for qualitative GMV direction only. Indirect PET/contrast/thickness effects never substituted as volume d. Zero center is an unresolved modeling hypothesis, not evidence of no disease association."
AAL3,18,19,Frontal_Sup_Medial_L,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.4760525,"{""Frontal2026"": -0.699105, ""Ledig2018"": -0.253}",-0.309434,False,A00365;A00692,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,18,19,Frontal_Sup_Medial_L,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.09496500000000001,"{""Frontal2026"": -0.024982, ""Ledig2018"": -0.164948}",-0.061727,False,A00367;A00694,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,19,20,Frontal_Sup_Medial_R,AD,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.4760525,"{""Frontal2026"": -0.699105, ""Ledig2018"": -0.253}",-0.309434,False,A00366;A00693,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,19,20,Frontal_Sup_Medial_R,MCI,parent_region_extrapolation,see_individual_associations,source_median_numeric_volume,-0.09496500000000001,"{""Frontal2026"": -0.024982, ""Ledig2018"": -0.164948}",-0.061727,False,A00368;A00695,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,20,21,Frontal_Med_Orb_L,AD,direct,see_individual_associations,directional_GMV_assumption,,{},-0.3,False,A00253,"Fixed latent-SD magnitude for qualitative GMV direction only. Indirect PET/contrast/thickness effects never substituted as volume d. Zero center is an unresolved modeling hypothesis, not evidence of no disease association."
AAL3,20,21,Frontal_Med_Orb_L,MCI,direct,see_individual_associations,directional_GMV_assumption,,{},-0.2,False,A00305,"Fixed latent-SD magnitude for qualitative GMV direction only. Indirect PET/contrast/thickness effects never substituted as volume d. Zero center is an unresolved modeling hypothesis, not evidence of no disease association."
AAL3,21,22,Frontal_Med_Orb_R,AD,direct,see_individual_associations,directional_GMV_assumption,,{},-0.3,False,A00254,"Fixed latent-SD magnitude for qualitative GMV direction only. Indirect PET/contrast/thickness effects never substituted as volume d. Zero center is an unresolved modeling hypothesis, not evidence of no disease association."
AAL3,21,22,Frontal_Med_Orb_R,MCI,direct,see_individual_associations,directional_GMV_assumption,,{},-0.2,False,A00306,"Fixed latent-SD magnitude for qualitative GMV direction only. Indirect PET/contrast/thickness effects never substituted as volume d. Zero center is an unresolved modeling hypothesis, not evidence of no disease association."
AAL3,22,23,Rectus_L,AD,direct,mixed_significance_or_measurement,source_median_numeric_volume,-0.32357600000000003,"{""Frontal2026"": -0.481152, ""Ledig2018"": -0.166}",-0.210324,False,A00313;A00700,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
AAL3,22,23,Rectus_L,MCI,parent_region_extrapolation,conflicting_directions,source_median_numeric_volume,0.16661700000000002,"{""Frontal2026"": 0.344623, ""Ledig2018"": -0.011389}",0.054151,True,A00315;A00702,"Median within source then across sources; gain0.65 for measurement/cohort transfer; additional0.5 if quantitative signs conflict; cap±1.8. These gains/cap are modeling assumptions, not estimated from target data."
