association_id,column_index,label_id,feature_name,atlas,disease,comparison,reference_id,source_region,source_url,doi,tissue,mapping_status,direction,effect_type,effect_value,uncertainty,measurement,source_location,mapping_limitation,evidence_strength,shared_evidence_group
A00011,42,45,Amygdala_L,AAL3,MCI,case_vs_NC,Fjell2010,Amygdala bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-1.2,p<1e-11; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Amygdala bilateral average:MCI:case_vs_NC
A00012,43,46,Amygdala_R,AAL3,MCI,case_vs_NC,Fjell2010,Amygdala bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-1.2,p<1e-11; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Amygdala bilateral average:MCI:case_vs_NC
A00013,11,18,L_Amygdala,FIRST,AD,case_vs_NC,Fjell2010,Amygdala bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-2.06,p<1e-18; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Amygdala bilateral average:AD:case_vs_NC
A00014,12,54,R_Amygdala,FIRST,AD,case_vs_NC,Fjell2010,Amygdala bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-2.06,p<1e-18; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Amygdala bilateral average:AD:case_vs_NC
A00015,42,45,Amygdala_L,AAL3,AD,case_vs_NC,Fjell2010,Amygdala bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-2.06,p<1e-18; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Amygdala bilateral average:AD:case_vs_NC
A00016,43,46,Amygdala_R,AAL3,AD,case_vs_NC,Fjell2010,Amygdala bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-2.06,p<1e-18; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Amygdala bilateral average:AD:case_vs_NC
A00017,2,11,L_Caudate,FIRST,MCI,case_vs_NC,Fjell2010,Caudate bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.19,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Caudate bilateral average:MCI:case_vs_NC
A00018,3,50,R_Caudate,FIRST,MCI,case_vs_NC,Fjell2010,Caudate bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.19,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Caudate bilateral average:MCI:case_vs_NC
A00019,72,75,Caudate_L,AAL3,MCI,case_vs_NC,Fjell2010,Caudate bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.19,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Caudate bilateral average:MCI:case_vs_NC
A00020,73,76,Caudate_R,AAL3,MCI,case_vs_NC,Fjell2010,Caudate bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.19,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Caudate bilateral average:MCI:case_vs_NC
A00021,2,11,L_Caudate,FIRST,AD,case_vs_NC,Fjell2010,Caudate bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.35,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Caudate bilateral average:AD:case_vs_NC
A00022,3,50,R_Caudate,FIRST,AD,case_vs_NC,Fjell2010,Caudate bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.35,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Caudate bilateral average:AD:case_vs_NC
A00023,72,75,Caudate_L,AAL3,AD,case_vs_NC,Fjell2010,Caudate bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.35,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Caudate bilateral average:AD:case_vs_NC
A00024,73,76,Caudate_R,AAL3,AD,case_vs_NC,Fjell2010,Caudate bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.35,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Caudate bilateral average:AD:case_vs_NC
A00025,9,17,L_Hippocampus,FIRST,MCI,case_vs_NC,Fjell2010,Hippocampus bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-1.76,p<1e-20; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Hippocampus bilateral average:MCI:case_vs_NC
A00026,10,53,R_Hippocampus,FIRST,MCI,case_vs_NC,Fjell2010,Hippocampus bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-1.76,p<1e-20; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Hippocampus bilateral average:MCI:case_vs_NC
A00027,38,41,Hippocampus_L,AAL3,MCI,case_vs_NC,Fjell2010,Hippocampus bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-1.76,p<1e-20; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Hippocampus bilateral average:MCI:case_vs_NC
A00028,39,42,Hippocampus_R,AAL3,MCI,case_vs_NC,Fjell2010,Hippocampus bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-1.76,p<1e-20; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Hippocampus bilateral average:MCI:case_vs_NC
A00029,9,17,L_Hippocampus,FIRST,AD,case_vs_NC,Fjell2010,Hippocampus bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-2.57,p<1e-24; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Hippocampus bilateral average:AD:case_vs_NC
A00030,10,53,R_Hippocampus,FIRST,AD,case_vs_NC,Fjell2010,Hippocampus bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-2.57,p<1e-24; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Hippocampus bilateral average:AD:case_vs_NC
A00031,38,41,Hippocampus_L,AAL3,AD,case_vs_NC,Fjell2010,Hippocampus bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-2.57,p<1e-24; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Hippocampus bilateral average:AD:case_vs_NC
A00032,39,42,Hippocampus_R,AAL3,AD,case_vs_NC,Fjell2010,Hippocampus bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-2.57,p<1e-24; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,supported,Fjell2010:Hippocampus bilateral average:AD:case_vs_NC
A00033,6,13,L_Pallidum,FIRST,MCI,case_vs_NC,Fjell2010,Pallidum bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,higher,reported_Cohen_D_case_minus_NC,0.22,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Pallidum bilateral average:MCI:case_vs_NC
A00034,7,52,R_Pallidum,FIRST,MCI,case_vs_NC,Fjell2010,Pallidum bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,higher,reported_Cohen_D_case_minus_NC,0.22,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Pallidum bilateral average:MCI:case_vs_NC
A00035,76,79,Pallidum_L,AAL3,MCI,case_vs_NC,Fjell2010,Pallidum bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,higher,reported_Cohen_D_case_minus_NC,0.22,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Pallidum bilateral average:MCI:case_vs_NC
A00036,77,80,Pallidum_R,AAL3,MCI,case_vs_NC,Fjell2010,Pallidum bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,higher,reported_Cohen_D_case_minus_NC,0.22,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Pallidum bilateral average:MCI:case_vs_NC
A00037,6,13,L_Pallidum,FIRST,AD,case_vs_NC,Fjell2010,Pallidum bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.17,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Pallidum bilateral average:AD:case_vs_NC
A00038,7,52,R_Pallidum,FIRST,AD,case_vs_NC,Fjell2010,Pallidum bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.17,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Pallidum bilateral average:AD:case_vs_NC
A00039,76,79,Pallidum_L,AAL3,AD,case_vs_NC,Fjell2010,Pallidum bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.17,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Pallidum bilateral average:AD:case_vs_NC
A00040,77,80,Pallidum_R,AAL3,AD,case_vs_NC,Fjell2010,Pallidum bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.17,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Pallidum bilateral average:AD:case_vs_NC
A00041,4,12,L_Putamen,FIRST,MCI,case_vs_NC,Fjell2010,Putamen bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.25,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Putamen bilateral average:MCI:case_vs_NC
A00042,5,51,R_Putamen,FIRST,MCI,case_vs_NC,Fjell2010,Putamen bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.25,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Putamen bilateral average:MCI:case_vs_NC
A00043,74,77,Putamen_L,AAL3,MCI,case_vs_NC,Fjell2010,Putamen bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.25,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Putamen bilateral average:MCI:case_vs_NC
A00044,75,78,Putamen_R,AAL3,MCI,case_vs_NC,Fjell2010,Putamen bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.25,pNS; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,not_significant,Fjell2010:Putamen bilateral average:MCI:case_vs_NC
A00045,4,12,L_Putamen,FIRST,AD,case_vs_NC,Fjell2010,Putamen bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.51,p<.05; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,nominal,Fjell2010:Putamen bilateral average:AD:case_vs_NC
A00046,5,51,R_Putamen,FIRST,AD,case_vs_NC,Fjell2010,Putamen bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.51,p<.05; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,nominal,Fjell2010:Putamen bilateral average:AD:case_vs_NC
A00047,74,77,Putamen_L,AAL3,AD,case_vs_NC,Fjell2010,Putamen bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.51,p<.05; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,nominal,Fjell2010:Putamen bilateral average:AD:case_vs_NC
A00048,75,78,Putamen_R,AAL3,AD,case_vs_NC,Fjell2010,Putamen bilateral average,https://pmc.ncbi.nlm.nih.gov/articles/PMC2828879/,10.1523/JNEUROSCI.3785-09.2010,gray matter or nucleus; see measurement,parent_region_extrapolation,lower,reported_Cohen_D_case_minus_NC,-0.51,p<.05; CI not numerically reported,FreeSurfer subcortical volume; cortical thickness reported separately,Table2 subcortical rows,Bilateral averaged effect shared across L/R; FreeSurfer→FIRST/AAL3 segmentation transfer.,nominal,Fjell2010:Putamen bilateral average:AD:case_vs_NC
