native_name,description,type,unit,valid_codes,hard_min,hard_max,bound_basis,missing_representation,measurement_note,source_url
LBXEOPCT,Eosinophils percent (%),continuous,percent,,0,100,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBXHCT,Hematocrit (%),continuous,percent,,0,100,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBXHGB,Hemoglobin (g/dL),continuous,g/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBDLYMNO,Lymphocyte number,continuous,1000 cells/uL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,SI cell-count unit clarified using official laboratory method table.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm;https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/LabMethods/CBC_F_met_HE.pdf
LBXLYPCT,Lymphocyte percent (%),continuous,percent,,0,100,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBXMC,MCHC (g/dL),continuous,g/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBXMCHSI,Mean cell hemoglobin (pg),continuous,pg,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBXMPSI,Mean platelet volume (fL),continuous,fL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBDMONO,Monocyte number,continuous,1000 cells/uL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,SI cell-count unit clarified using official laboratory method table.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm;https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/LabMethods/CBC_F_met_HE.pdf
LBXMOPCT,Monocyte percent (%),continuous,percent,,0,100,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBXPLTSI,Platelet count,continuous,1000 cells/uL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,CBC count unit clarified using official laboratory method table; ignore percent typo in the 1999 platelet label.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm;https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/LabMethods/CBC_F_met_HE.pdf
LBXRBCSI,Red blood cell count,continuous,million cells/uL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,SI cell-count unit clarified using official laboratory method table.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm;https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/LabMethods/CBC_F_met_HE.pdf
LBXRDW,Red cell distribution width (%),continuous,percent coefficient of variation,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBDNENO,Segmented neutrophils number,continuous,1000 cells/uL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,SI cell-count unit clarified using official laboratory method table.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm;https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/LabMethods/CBC_F_met_HE.pdf
LBXNEPCT,Segmented neutrophils percent (%),continuous,percent,,0,100,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm
LBXWBCSI,White blood cell count (SI),continuous,1000 cells/uL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,SI cell-count unit clarified using official laboratory method table.,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.htm;https://wwwn.cdc.gov/nchs/data/nhanes/public/2009/LabMethods/CBC_F_met_HE.pdf
SSCYPC,Cystatin C (mg/L),continuous,mg/L,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSCYST_A.htm
LBXGH,Glycohemoglobin:(%),continuous,percent,,0,100,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB10.htm
LBXGLU,"Glucose, plasma (mg/dL)",continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB10AM.htm
LBXCRP,C-reactive protein(mg/dL),continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB11.htm
LBDHDL,HDL-cholesterol (mg/dL),continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB13.htm
LBXTC,Total cholesterol (mg/dL),continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB13.htm
LBXSAL,Albumin (g/dL),continuous,g/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSTB,"Bilirubin, total (mg/dL)",continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSBU,Blood urea nitrogen (mg/dL),continuous,"mg/dL, urea nitrogen",,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSCA,"Calcium, total (mg/dL)",continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSCR,Creatinine (mg/dL),continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSPH,Phosphorus (mg/dL),continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSTP,"Protein, total (g/dL)",continuous,g/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSTR,Triglycerides (mg/dL),continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
LBXSUA,Uric acid (mg/dL),continuous,mg/dL,,0,,nonnegative physical quantity; percent fraction bounded by100 where applicable; no observed data range used,NaN,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.htm
