atlas,column_index,label_id,feature_name
AAL3,92,97,Cerebellum_Crus2_L
AAL3,93,98,Cerebellum_Crus2_R
AAL3,94,99,Cerebellum_3_L
AAL3,95,100,Cerebellum_3_R
AAL3,96,101,Cerebellum_4_5_L
AAL3,97,102,Cerebellum_4_5_R
AAL3,98,103,Cerebellum_6_L
AAL3,99,104,Cerebellum_6_R
AAL3,100,105,Cerebellum_7b_L
AAL3,101,106,Cerebellum_7b_R
AAL3,102,107,Cerebellum_8_L
AAL3,103,108,Cerebellum_8_R
AAL3,104,109,Cerebellum_9_L
AAL3,105,110,Cerebellum_9_R
AAL3,106,111,Cerebellum_10_L
AAL3,107,112,Cerebellum_10_R
AAL3,108,113,Vermis_1_2
AAL3,109,114,Vermis_3
AAL3,110,115,Vermis_4_5
AAL3,111,116,Vermis_6
AAL3,112,117,Vermis_7
AAL3,113,118,Vermis_8
AAL3,114,119,Vermis_9
AAL3,115,120,Vermis_10
AAL3,116,121,Thal_AV_L
AAL3,117,122,Thal_AV_R
AAL3,118,123,Thal_LP_L
AAL3,119,124,Thal_LP_R
AAL3,120,125,Thal_VA_L
AAL3,121,126,Thal_VA_R
AAL3,122,127,Thal_VL_L
AAL3,123,128,Thal_VL_R
AAL3,124,129,Thal_VPL_L
AAL3,125,130,Thal_VPL_R
AAL3,126,131,Thal_IL_L
AAL3,127,132,Thal_IL_R
AAL3,128,133,Thal_Re_L
AAL3,129,134,Thal_Re_R
AAL3,130,135,Thal_MDm_L
AAL3,131,136,Thal_MDm_R
AAL3,132,137,Thal_MDl_L
AAL3,133,138,Thal_MDl_R
AAL3,134,139,Thal_LGN_L
AAL3,135,140,Thal_LGN_R
AAL3,136,141,Thal_MGN_L
AAL3,137,142,Thal_MGN_R
AAL3,138,143,Thal_PuI_L
AAL3,139,144,Thal_PuI_R
AAL3,140,145,Thal_PuM_L
AAL3,141,146,Thal_PuM_R
AAL3,142,147,Thal_PuA_L
AAL3,143,148,Thal_PuA_R
AAL3,144,149,Thal_PuL_L
AAL3,145,150,Thal_PuL_R
AAL3,146,151,ACC_sub_L
AAL3,147,152,ACC_sub_R
AAL3,148,153,ACC_pre_L
AAL3,149,154,ACC_pre_R
AAL3,150,155,ACC_sup_L
AAL3,151,156,ACC_sup_R
AAL3,152,157,N_Acc_L
AAL3,153,158,N_Acc_R
AAL3,154,159,VTA_L
AAL3,155,160,VTA_R
AAL3,156,161,SN_pc_L
AAL3,157,162,SN_pc_R
AAL3,158,163,SN_pr_L
AAL3,159,164,SN_pr_R
AAL3,160,165,Red_N_L
AAL3,161,166,Red_N_R
AAL3,162,167,LC_L
AAL3,163,168,LC_R
AAL3,164,169,Raphe_D
AAL3,165,170,Raphe_M
