Field_ID,Category,Detail_Category,Description,Variable_Type,Unit,Recommended_Data_Type,Recommended_Hard_Min,Recommended_Hard_Max,Recommended_Allowed_Values,Recommended_Decimal_Places
1021,Lifestyle,Physical activity,Duration of light DIY,categorical,category code,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0
1011,Lifestyle,Physical activity,Frequency of light DIY in last 4 weeks,categorical,category code,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0
894,Lifestyle,Physical activity,Duration of moderate activity,continuous,minutes/day,continuous_numeric,0,950,,0
3647,Lifestyle,Physical activity,Duration of other exercises,categorical,category code,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0
3637,Lifestyle,Physical activity,Frequency of other exercises in last 4 weeks,categorical,category code,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0
914,Lifestyle,Physical activity,Duration of vigorous activity,continuous,minutes/day,continuous_numeric,0,720,,0
874,Lifestyle,Physical activity,Duration of walks,continuous,minutes/day,continuous_numeric,0,1260,,0
981,Lifestyle,Physical activity,Duration walking for pleasure,categorical,category code,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0
971,Lifestyle,Physical activity,Frequency of walking for pleasure in last 4 weeks,categorical,category code,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0
943,Lifestyle,Physical activity,Frequency of stair climbing in last 4 weeks,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
884,Lifestyle,Physical activity,Number of days/week of moderate physical activity 10+ minutes,continuous,days/week,bounded_integer_or_count,0,7,,0
904,Lifestyle,Physical activity,Number of days/week of vigorous physical activity 10+ minutes,continuous,days/week,bounded_integer_or_count,0,7,,0
864,Lifestyle,Physical activity,Number of days/week walked 10+ minutes,continuous,days/week,bounded_integer_or_count,0,7,,0
1090,Lifestyle,Physical activity,Time spent driving,continuous,hours/day,bounded_integer_or_count,0,20,,0
1080,Lifestyle,Physical activity,Time spent using computer,continuous,hours/day,bounded_integer_or_count,0,14,,0
1070,Lifestyle,Physical activity,Time spent watching television (TV),continuous,hours/day,bounded_integer_or_count,0,24,,0
924,Lifestyle,Physical activity,Usual walking pace,categorical,category code,categorical_integer_code,1,3,"[1, 2, 3]",0
1120,Lifestyle,Electronic device use,Weekly usage of mobile phone in last 3 months,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1130,Lifestyle,Electronic device use,Hands-free device/speakerphone use with mobile phone in last 3 month,categorical,category code,categorical_integer_code,0,4,"[0, 1, 2, 3, 4]",0
2237,Lifestyle,Electronic device use,Plays computer games,categorical,category code,categorical_integer_code,0,2,"[0, 1, 2]",0
1160,Lifestyle,Sleep,Sleep duration,continuous,hours/day,bounded_integer_or_count,2,20,,0
1170,Lifestyle,Sleep,Getting up in morning,categorical,category code,categorical_integer_code,1,4,"[1, 2, 3, 4]",0
1180,Lifestyle,Sleep,Morning/evening person (chronotype),categorical,category code,categorical_integer_code,1,4,"[1, 2, 3, 4]",0
1190,Lifestyle,Sleep,Nap during day,categorical,category code,categorical_integer_code,1,3,"[1, 2, 3]",0
1200,Lifestyle,Sleep,Sleeplessness / insomnia,categorical,category code,categorical_integer_code,1,3,"[1, 2, 3]",0
1210,Lifestyle,Sleep,Snoring,categorical,category code,categorical_integer_code,1,2,"[1, 2]",0
1220,Lifestyle,Sleep,Daytime dozing / sleeping,categorical,category code,categorical_integer_code,0,3,"[0, 1, 2, 3]",0
20116,Lifestyle,Smoke,Smoking status,categorical,category code,categorical_integer_code,0,2,"[0, 1, 2]",0
1239,Lifestyle,Smoke,Current tobacco smoking,categorical,category code,categorical_integer_code,0,2,"[0, 1, 2]",0
1249,Lifestyle,Smoke,Past tobacco smoking,categorical,category code,categorical_integer_code,1,4,"[1, 2, 3, 4]",0
20161,Lifestyle,Smoke,Pack years of smoking,continuous,pack-years,continuous_numeric,0,222,,3
1259,Lifestyle,Smoke,Smoking/smokers in household,categorical,category code,categorical_integer_code,0,2,"[0, 1, 2]",0
1269,Lifestyle,Smoke,Exposure to tobacco smoke at home,continuous,hours/week,continuous_numeric,0,100,,0
1279,Lifestyle,Smoke,Exposure to tobacco smoke outside home,continuous,hours/week,continuous_numeric,0,100,,0
1289,Lifestyle,Diet,Cooked vegetable intake,continuous,tablespoons/day,continuous_numeric,0,50,,0
1299,Lifestyle,Diet,Salad / raw vegetable intake,continuous,tablespoons/day,continuous_numeric,0,50,,0
1309,Lifestyle,Diet,Fresh fruit intake,continuous,pieces/day,bounded_integer_or_count,0,44,,0
1319,Lifestyle,Diet,Dried fruit intake,continuous,pieces/day,bounded_integer_or_count,0,100,,0
1438,Lifestyle,Diet,Bread intake,continuous,slices/week,continuous_numeric,0,96,,0
1458,Lifestyle,Diet,Cereal intake,continuous,bowls/week,bounded_integer_or_count,0,33,,0
1488,Lifestyle,Diet,Tea intake,continuous,cups/day,continuous_numeric,0,42,,0
1498,Lifestyle,Diet,Coffee intake,continuous,cups/day,bounded_integer_or_count,0,40,,0
1528,Lifestyle,Diet,Water intake,continuous,glasses/day,bounded_integer_or_count,0,30,,0
1518,Lifestyle,Diet,Hot drink temperature,categorical,category code,categorical_integer_code,1,3,"[1, 2, 3]",0
1329,Lifestyle,Diet,Oily fish intake,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1339,Lifestyle,Diet,Non-oily fish intake,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1349,Lifestyle,Diet,Processed meat intake,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1359,Lifestyle,Diet,Poultry intake,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1369,Lifestyle,Diet,Beef intake,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1379,Lifestyle,Diet,Lamb/mutton intake,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1389,Lifestyle,Diet,Pork intake,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1408,Lifestyle,Diet,Cheese intake,categorical,category code,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0
1478,Lifestyle,Diet,Salt added to food,categorical,category code,categorical_integer_code,1,4,"[1, 2, 3, 4]",0
6144,Lifestyle,Diet,"Never eat eggs, dairy, wheat, sugar",categorical,category code,categorical_integer_code,1,5,"[1, 2, 3, 4, 5]",0
20117,Lifestyle,Alcohol,Alcohol drinker status,categorical,category code,categorical_integer_code,0,2,"[0, 1, 2]",0
1558,Lifestyle,Alcohol,Alcohol intake frequency.,categorical,category code,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0
1568,Lifestyle,Alcohol,Average weekly red wine intake,continuous,glasses/week,continuous_numeric,0,80,,0
1578,Lifestyle,Alcohol,Average weekly champagne plus white wine intake,continuous,glasses/week,continuous_numeric,0,80,,0
1588,Lifestyle,Alcohol,Average weekly beer plus cider intake,continuous,pints/week,continuous_numeric,0,70,,0
1598,Lifestyle,Alcohol,Average weekly spirits intake,continuous,measures/week,continuous_numeric,0,100,,0
1608,Lifestyle,Alcohol,Average weekly fortified wine intake,continuous,glasses/week,bounded_integer_or_count,0,42,,0
1618,Lifestyle,Alcohol,Alcohol usually taken with meals,categorical,category code,categorical_integer_code,0,1,"[0, 1]",0
1050,Lifestyle,Sun exposure,Time spend outdoors in summer,continuous,hours/day,bounded_integer_or_count,0,20,,0
1060,Lifestyle,Sun exposure,Time spent outdoors in winter,continuous,hours/day,bounded_integer_or_count,0,24,,0
1717,Lifestyle,Sun exposure,Skin colour,categorical,category code,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0
1727,Lifestyle,Sun exposure,Ease of skin tanning,categorical,category code,categorical_integer_code,1,4,"[1, 2, 3, 4]",0
1737,Lifestyle,Sun exposure,Childhood sunburn occasions,continuous,occasions,bounded_integer_or_count,0,200,,0
1747,Lifestyle,Sun exposure,"Hair colour (natural, before greying)",categorical,category code,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0
1757,Lifestyle,Sun exposure,Facial ageing,categorical,category code,categorical_integer_code,1,3,"[1, 2, 3]",0
2267,Lifestyle,Sun exposure,Use of sun/uv protection,categorical,category code,categorical_integer_code,1,5,"[1, 2, 3, 4, 5]",0
2277,Lifestyle,Sun exposure,Frequency of solarium/sunlamp use,continuous,occasions,bounded_integer_or_count,0,300,,0
2139,Lifestyle,Sexual factors,Age first had sexual intercourse,continuous,years,continuous_numeric,3,62,,0
2149,Lifestyle,Sexual factors,Lifetime number of sexual partners,continuous,partners,continuous_numeric,1,1500,,0
2159,Lifestyle,Sexual factors,Ever had same-sex intercourse,binary,binary code,binary_integer_code,0,1,"[0, 1]",0
1677,Environment,Early life factors,Breastfed as a baby,binary,binary code,binary_integer_code,0,1,"[0, 1]",0
1777,Environment,Early life factors,Part of a multiple birth,binary,binary code,binary_integer_code,0,1,"[0, 1]",0
1787,Environment,Early life factors,Maternal smoking around birth,binary,binary code,binary_integer_code,0,1,"[0, 1]",0
2946,Environment,Family history,Father's age,continuous,years,continuous_numeric,60,98,,0
1807,Environment,Family history,Father's age at death,continuous,years,continuous_numeric,10,109,,0
1845,Environment,Family history,Mother's age,continuous,years,continuous_numeric,60,105,,0
3526,Environment,Family history,Mother's age at death,continuous,years,continuous_numeric,18,104,,0
4501,Environment,Family history,Non-accidental death in close genetic family,binary,binary code,binary_integer_code,0,1,"[0, 1]",0
2188,Environment,General health,"Long-standing illness, disability or infirmity",binary,binary code,binary_integer_code,0,1,"[0, 1]",0
30160,Blood count,Blood count,Basophill count,,10^9 cells/L,continuous_numeric,0,1.5,,2
30220,Blood count,Blood count,Basophill percentage,,%,continuous_numeric,0,13.49,,2
30150,Blood count,Blood count,Eosinophill count,,10^9 cells/L,continuous_numeric,0,2.4,,2
30210,Blood count,Blood count,Eosinophill percentage,,%,continuous_numeric,0,35.1,,2
30030,Blood count,Blood count,Haematocrit percentage,,%,continuous_numeric,7.7,56.11,,2
30020,Blood count,Blood count,Haemoglobin concentration,,g/dL,continuous_numeric,2.4,19,,2
30300,Blood count,Blood count,High light scatter reticulocyte count,,10^12 cells/L,continuous_numeric,0,0.284,,3
30290,Blood count,Blood count,High light scatter reticulocyte percentage,,%,continuous_numeric,0.006,6.578,,3
30280,Blood count,Blood count,Immature reticulocyte fraction,,ratio,continuous_numeric,0.015,0.619,,3
30120,Blood count,Blood count,Lymphocyte count,,10^9 cells/L,continuous_numeric,0,16.9,,2
30180,Blood count,Blood count,Lymphocyte percentage,,%,continuous_numeric,1.9,76.9,,2
30050,Blood count,Blood count,Mean corpuscular haemoglobin,,pg,continuous_numeric,18.65,87.51,,2
30060,Blood count,Blood count,Mean corpuscular haemoglobin concentration,,g/dL,continuous_numeric,23.08,87.64,,2
30040,Blood count,Blood count,Mean corpuscular volume,,fL,continuous_numeric,59.3,120.2,,2
30100,Blood count,Blood count,Mean platelet (thrombocyte) volume,,fL,continuous_numeric,6.2,16.1,,2
30260,Blood count,Blood count,Mean reticulocyte volume,,fL,continuous_numeric,54.23,157.4,,2
30270,Blood count,Blood count,Mean sphered cell volume,,fL,continuous_numeric,49.93,119.5,,2
30130,Blood count,Blood count,Monocyte count,,10^9 cells/L,continuous_numeric,0,16.51,,2
30190,Blood count,Blood count,Monocyte percentage,,%,continuous_numeric,0.13,88.2,,2
30140,Blood count,Blood count,Neutrophill count,,10^9 cells/L,continuous_numeric,0.08,14.9,,2
30200,Blood count,Blood count,Neutrophill percentage,,%,continuous_numeric,1.23,96.7,,1
30170,Blood count,Blood count,Nucleated red blood cell count,,10^9 cells/L,continuous_numeric,0,0.8,,0
30230,Blood count,Blood count,Nucleated red blood cell percentage,,%,continuous_numeric,0,12.04,,0
30080,Blood count,Blood count,Platelet count,,10^9 cells/L,continuous_numeric,13,674,,1
30090,Blood count,Blood count,Platelet crit,,%,continuous_numeric,0.011,0.579,,3
30110,Blood count,Blood count,Platelet distribution width,,%,continuous_numeric,15.09,19.8,,2
30010,Blood count,Blood count,Red blood cell (erythrocyte) count,,10^12 cells/L,continuous_numeric,0.86,7.23,,3
30070,Blood count,Blood count,Red blood cell (erythrocyte) distribution width,,%,continuous_numeric,11.33,25.88,,2
30250,Blood count,Blood count,Reticulocyte count,,10^12 cells/L,continuous_numeric,0.003,1.959,,3
30240,Blood count,Blood count,Reticulocyte percentage,,%,continuous_numeric,0.054,45.417,,3
30000,Blood count,Blood count,White blood cell (leukocyte) count,,10^9 cells/L,continuous_numeric,1.2,23.15,,2
30620,Blood biochemistry,Blood biochemistry,Alanine aminotransferase,,U/L,continuous_numeric,3.77,384.73,,2
30600,Blood biochemistry,Blood biochemistry,Albumin,,g/L,continuous_numeric,25.83,57.75,,2
30610,Blood biochemistry,Blood biochemistry,Alkaline phosphatase,,U/L,continuous_numeric,19.3,384.3,,1
30630,Blood biochemistry,Blood biochemistry,Apolipoprotein A,,g/L,continuous_numeric,0.771,2.498,,3
30640,Blood biochemistry,Blood biochemistry,Apolipoprotein B,,g/L,continuous_numeric,0.412,1.966,,3
30650,Blood biochemistry,Blood biochemistry,Aspartate aminotransferase,,U/L,continuous_numeric,8.2,459.9,,1
30710,Blood biochemistry,Blood biochemistry,C-reactive protein,,mg/L,continuous_numeric,0.08,71.1,,2
30680,Blood biochemistry,Blood biochemistry,Calcium,,mmol/L,continuous_numeric,1.87,3.452,,3
30690,Blood biochemistry,Blood biochemistry,Cholesterol,,mmol/L,continuous_numeric,2.324,10.427,,3
30700,Blood biochemistry,Blood biochemistry,Creatinine,,umol/L,continuous_numeric,10.8,819,,1
30720,Blood biochemistry,Blood biochemistry,Cystatin C,,mg/L,continuous_numeric,0.295,5.581,,3
30660,Blood biochemistry,Blood biochemistry,Direct bilirubin,,umol/L,continuous_numeric,1,20.42,,2
30730,Blood biochemistry,Blood biochemistry,Gamma glutamyltransferase,,U/L,continuous_numeric,5.8,1092.9,,1
30740,Blood biochemistry,Blood biochemistry,Glucose,,mmol/L,continuous_numeric,1.585,32.746,,3
30750,Blood biochemistry,Blood biochemistry,Glycated haemoglobin (HbA1c),,mmol/mol,continuous_numeric,15.6,126.6,,1
30760,Blood biochemistry,Blood biochemistry,HDL cholesterol,,mmol/L,continuous_numeric,0.569,4.107,,3
30770,Blood biochemistry,Blood biochemistry,IGF-1,,nmol/L,continuous_numeric,3.559,68.832,,3
30780,Blood biochemistry,Blood biochemistry,LDL direct,,mmol/L,continuous_numeric,1.128,7.418,,3
30790,Blood biochemistry,Blood biochemistry,Lipoprotein A,,nmol/L,continuous_numeric,3.8,189,,2
30800,Blood biochemistry,Blood biochemistry,Oestradiol,,pmol/L,continuous_numeric,175,12647.8,,1
30810,Blood biochemistry,Blood biochemistry,Phosphate,,mmol/L,continuous_numeric,0.425,1.844,,3
30820,Blood biochemistry,Blood biochemistry,Rheumatoid factor,,IU/mL,continuous_numeric,10,118.6,,1
30830,Blood biochemistry,Blood biochemistry,SHBG,,nmol/L,continuous_numeric,0.47,236.68,,2
30850,Blood biochemistry,Blood biochemistry,Testosterone,,nmol/L,continuous_numeric,0.35,45.795,,3
30840,Blood biochemistry,Blood biochemistry,Total bilirubin,,umol/L,continuous_numeric,2.16,68.14,,2
30860,Blood biochemistry,Blood biochemistry,Total protein,,g/L,continuous_numeric,51.06,98.53,,2
30870,Blood biochemistry,Blood biochemistry,Triglycerides,,mmol/L,continuous_numeric,0.356,10.969,,3
30880,Blood biochemistry,Blood biochemistry,Urate,,umol/L,continuous_numeric,101.3,765.5,,1
30670,Blood biochemistry,Blood biochemistry,Urea,,mmol/L,continuous_numeric,1.48,26.19,,2
30890,Blood biochemistry,Blood biochemistry,Vitamin D,,nmol/L,continuous_numeric,10,169,,1
