feature_index,Aptamer,Feature,Target,EntrezGeneSymbol,UniPort,disease,background_family,evidence_status,literature_direction,model_effect_sd,public_reference_ids,literature_estimates_json,modeling_note
6,seq.10082.251,seq_10082_251,NFL,NEFL,P07196,AD,neural_synaptic,prospective_risk_direction_proxy,1,0.25,UKB_AD_Guo_2024|UKB_CellAtlas_2024,"[{""reference_id"": ""UKB_AD_Guo_2024"", ""source_locator"": ""SupplementaryTable2/ST2 row2938"", ""estimate"": ""1.55"", ""estimate_type"": ""HR_per_paper_transformed_protein_scale"", ""ci_lower"": ""1.45"", ""ci_upper"": ""1.67"", ""standard_error"": """", ""p_value"": """", ""q_value"": """", ""adjusted_p_value"": ""4.30122e-31"", ""direction"": ""higher_predicts_greater_risk"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""external_population_cohort_no_GNPC_expression_results_used""}, {""reference_id"": ""UKB_AD_Guo_2024"", ""source_locator"": ""SupplementaryTable2/ST2 row4405"", ""estimate"": ""1.52"", ""estimate_type"": ""HR_per_paper_transformed_protein_scale"", ""ci_lower"": ""1.41"", ""ci_upper"": ""1.63"", ""standard_error"": """", ""p_value"": """", ""q_value"": """", ""adjusted_p_value"": ""3.24786e-27"", ""direction"": ""higher_predicts_greater_risk"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""external_population_cohort_no_GNPC_expression_results_used""}, {""reference_id"": ""UKB_CellAtlas_2024"", ""source_locator"": ""author_public_API_all_population_CSV_row1840"", ""estimate"": ""2.12"", ""estimate_type"": ""HR_per_author_website_protein_scale_not_abundance_difference"", ""ci_lower"": ""1.88"", ""ci_upper"": ""2.4"", ""standard_error"": """", ""p_value"": ""2.731283425778891e-34"", ""q_value"": """", ""adjusted_p_value"": ""7.975347603274362e-31"", ""direction"": ""higher_predicts_greater_risk"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""UKB_not_named_in_Imam2025_Table1_individual_nonoverlap_unproven""}]",Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
6,seq.10082.251,seq_10082_251,NFL,NEFL,P07196,PD,neural_synaptic,prospective_risk_direction_proxy,1,0.25,UKB_CellAtlas_2024|UKB_PD_Jiao_2025,"[{""reference_id"": ""UKB_PD_Jiao_2025"", ""source_locator"": ""PubMed40300504_Abstract_Results"", ""estimate"": """", ""estimate_type"": """", ""ci_lower"": """", ""ci_upper"": """", ""standard_error"": """", ""p_value"": """", ""q_value"": """", ""adjusted_p_value"": """", ""direction"": ""higher_predicts_greater_risk"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""UKB_not_named_in_Imam2025_Table1""}, {""reference_id"": ""UKB_CellAtlas_2024"", ""source_locator"": ""author_public_API_all_population_CSV_row1840"", ""estimate"": ""1.55"", ""estimate_type"": ""HR_per_author_website_protein_scale_not_abundance_difference"", ""ci_lower"": ""1.37"", ""ci_upper"": ""1.75"", ""standard_error"": """", ""p_value"": ""1.587712868109472e-12"", ""q_value"": """", ""adjusted_p_value"": ""4.636121574879658e-09"", ""direction"": ""higher_predicts_greater_risk"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""UKB_not_named_in_Imam2025_Table1_individual_nonoverlap_unproven""}]",Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
6,seq.10082.251,seq_10082_251,NFL,NEFL,P07196,FTD,neural_synaptic,genetic_FTD_subtype_direction_attenuated,1,0.2,genetic_FTD_2026,"[{""reference_id"": ""genetic_FTD_2026"", ""source_locator"": "" Symp GRN_NC S3 row2"", ""estimate"": ""3.98668354907462"", ""estimate_type"": ""standardized_beta"", ""ci_lower"": """", ""ci_upper"": """", ""standard_error"": """", ""p_value"": ""6.56437511115918e-31"", ""q_value"": ""7.68031888005624e-29"", ""adjusted_p_value"": """", ""direction"": ""higher"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""Brescia_cohort_not_named_in_Imam2025_Table1_individual_overlap_not_provable""}, {""reference_id"": ""genetic_FTD_2026"", ""source_locator"": ""Symp C9_NC S4 row2"", ""estimate"": ""2.79603372950642"", ""estimate_type"": ""standardized_beta"", ""ci_lower"": """", ""ci_upper"": """", ""standard_error"": """", ""p_value"": ""1.43251318521524e-13"", ""q_value"": ""1.67604042670183e-11"", ""adjusted_p_value"": """", ""direction"": ""higher"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""Brescia_cohort_not_named_in_Imam2025_Table1_individual_overlap_not_provable""}]",Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
6,seq.10082.251,seq_10082_251,NFL,NEFL,P07196,ALS,neural_synaptic,single_clinical_source_multiplicity_controlled,1,0.4,ALS_Ran_2026,"[{""reference_id"": ""ALS_Ran_2026"", ""source_locator"": ""SupplementaryTableS1 row6"", ""estimate"": ""2.19"", ""estimate_type"": ""log2_fold_change_fixed_effect_linear_mixed_model"", ""ci_lower"": """", ""ci_upper"": """", ""standard_error"": ""0.18"", ""p_value"": ""6.69e-20"", ""q_value"": ""1.18e-16"", ""adjusted_p_value"": """", ""direction"": ""higher"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""requires_GNPC_constituent_cohort_review""}]",Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
6,seq.10082.251,seq_10082_251,NFL,NEFL,P07196,StrokeTIA,neural_synaptic,single_clinical_source_multiplicity_controlled,1,0.4,UKB_CellAtlas_2024,"[{""reference_id"": ""UKB_CellAtlas_2024"", ""source_locator"": ""author_public_API_all_population_CSV_row1840"", ""estimate"": ""2.36"", ""estimate_type"": ""OR_per_author_website_protein_scale_not_abundance_difference"", ""ci_lower"": ""1.98"", ""ci_upper"": ""2.82"", ""standard_error"": """", ""p_value"": ""1.2796566373848929e-21"", ""q_value"": """", ""adjusted_p_value"": ""3.736597381163887e-18"", ""direction"": ""higher"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""UKB_not_named_in_Imam2025_Table1_individual_nonoverlap_unproven""}, {""reference_id"": ""UKB_CellAtlas_2024"", ""source_locator"": ""author_public_API_all_population_CSV_row1840"", ""estimate"": ""1.98"", ""estimate_type"": ""OR_per_author_website_protein_scale_not_abundance_difference"", ""ci_lower"": ""1.56"", ""ci_upper"": ""2.51"", ""standard_error"": """", ""p_value"": ""1.975987334584046e-08"", ""q_value"": """", ""adjusted_p_value"": ""5.769883016985415e-05"", ""direction"": ""higher"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""UKB_not_named_in_Imam2025_Table1_individual_nonoverlap_unproven""}]",Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
7,seq.10088.37,seq_10088_37,APT,APRT,P07741,CU,other,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
7,seq.10088.37,seq_10088_37,APT,APRT,P07741,AD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
7,seq.10088.37,seq_10088_37,APT,APRT,P07741,PD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
7,seq.10088.37,seq_10088_37,APT,APRT,P07741,FTD,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
7,seq.10088.37,seq_10088_37,APT,APRT,P07741,ALS,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
7,seq.10088.37,seq_10088_37,APT,APRT,P07741,StrokeTIA,other,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
8,seq.10362.35,seq_10362_35,c-Myc,MYC,P01106,CU,nuclear_signaling,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
8,seq.10362.35,seq_10362_35,c-Myc,MYC,P01106,AD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
8,seq.10362.35,seq_10362_35,c-Myc,MYC,P01106,PD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
8,seq.10362.35,seq_10362_35,c-Myc,MYC,P01106,FTD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
8,seq.10362.35,seq_10362_35,c-Myc,MYC,P01106,ALS,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
8,seq.10362.35,seq_10362_35,c-Myc,MYC,P01106,StrokeTIA,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
9,seq.10419.1,seq_10419_1,SCAR5,SCARA5,Q6ZMJ2,CU,metabolism_transport,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
9,seq.10419.1,seq_10419_1,SCAR5,SCARA5,Q6ZMJ2,AD,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
9,seq.10419.1,seq_10419_1,SCAR5,SCARA5,Q6ZMJ2,PD,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
9,seq.10419.1,seq_10419_1,SCAR5,SCARA5,Q6ZMJ2,FTD,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
9,seq.10419.1,seq_10419_1,SCAR5,SCARA5,Q6ZMJ2,ALS,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
9,seq.10419.1,seq_10419_1,SCAR5,SCARA5,Q6ZMJ2,StrokeTIA,metabolism_transport,single_clinical_source_multiplicity_controlled,1,0.4,UKB_CellAtlas_2024,"[{""reference_id"": ""UKB_CellAtlas_2024"", ""source_locator"": ""author_public_API_all_population_CSV_row2347"", ""estimate"": ""2.71"", ""estimate_type"": ""OR_per_author_website_protein_scale_not_abundance_difference"", ""ci_lower"": ""1.94"", ""ci_upper"": ""3.8"", ""standard_error"": """", ""p_value"": ""6.931629040256106e-09"", ""q_value"": """", ""adjusted_p_value"": ""2.024035679754783e-05"", ""direction"": ""higher"", ""specimen"": ""plasma"", ""cohort_overlap_status"": ""UKB_not_named_in_Imam2025_Table1_individual_nonoverlap_unproven""}]",Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
10,seq.10425.3,seq_10425_3,B4GT5,B4GALT5,O43286,CU,neural_synaptic,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
10,seq.10425.3,seq_10425_3,B4GT5,B4GALT5,O43286,AD,neural_synaptic,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
10,seq.10425.3,seq_10425_3,B4GT5,B4GALT5,O43286,PD,neural_synaptic,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
10,seq.10425.3,seq_10425_3,B4GT5,B4GALT5,O43286,FTD,neural_synaptic,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
10,seq.10425.3,seq_10425_3,B4GT5,B4GALT5,O43286,ALS,neural_synaptic,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
10,seq.10425.3,seq_10425_3,B4GT5,B4GALT5,O43286,StrokeTIA,neural_synaptic,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
11,seq.10426.21,seq_10426_21,GOSR2,GOSR2,O14653,CU,metabolism_transport,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
11,seq.10426.21,seq_10426_21,GOSR2,GOSR2,O14653,AD,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
11,seq.10426.21,seq_10426_21,GOSR2,GOSR2,O14653,PD,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
11,seq.10426.21,seq_10426_21,GOSR2,GOSR2,O14653,FTD,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
11,seq.10426.21,seq_10426_21,GOSR2,GOSR2,O14653,ALS,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
11,seq.10426.21,seq_10426_21,GOSR2,GOSR2,O14653,StrokeTIA,metabolism_transport,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
12,seq.10485.56,seq_10485_56,MAGE-4,MAGEA4,P43358,CU,nuclear_signaling,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
12,seq.10485.56,seq_10485_56,MAGE-4,MAGEA4,P43358,AD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
12,seq.10485.56,seq_10485_56,MAGE-4,MAGEA4,P43358,PD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
12,seq.10485.56,seq_10485_56,MAGE-4,MAGEA4,P43358,FTD,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
12,seq.10485.56,seq_10485_56,MAGE-4,MAGEA4,P43358,ALS,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
12,seq.10485.56,seq_10485_56,MAGE-4,MAGEA4,P43358,StrokeTIA,nuclear_signaling,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
13,seq.10510.62,seq_10510_62,SCIMP,SCIMP,Q6UWF3,CU,muscle_cytoskeleton,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
13,seq.10510.62,seq_10510_62,SCIMP,SCIMP,Q6UWF3,AD,muscle_cytoskeleton,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
13,seq.10510.62,seq_10510_62,SCIMP,SCIMP,Q6UWF3,PD,muscle_cytoskeleton,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
13,seq.10510.62,seq_10510_62,SCIMP,SCIMP,Q6UWF3,FTD,muscle_cytoskeleton,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
13,seq.10510.62,seq_10510_62,SCIMP,SCIMP,Q6UWF3,ALS,muscle_cytoskeleton,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
13,seq.10510.62,seq_10510_62,SCIMP,SCIMP,Q6UWF3,StrokeTIA,muscle_cytoskeleton,no_eligible_direct_direction_zero_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
14,seq.10513.13,seq_10513_13,CSEN,KCNIP3,Q9Y2W7,CU,nuclear_signaling,reference_no_added_disease_shift,0,0,,[],Fixed evidence-tier magnitude; not an observed target effect; no tuning to real data. Unlisted cohorts cannot prove participant-level nonoverlap.
