feature_index,Aptamer,Feature,Target,TargetFullName,UniPort,EntrezGeneID,EntrezGeneSymbol
22,seq.10663.42,seq_10663_42,INSI1,Insulin-induced gene 1 protein,O15503,3638,INSIG1
23,seq.10754.113,seq_10754_113,Prokineticin-2,Prokineticin-2,Q9HC23,60675,PROK2
24,seq.10760.107,seq_10760_107,GRIA4,Glutamate receptor 4,P48058,2893,GRIA4
25,seq.10785.8,seq_10785_8,LRC52,Leucine-rich repeat-containing protein 52,Q8N7C0,440699,LRRC52
26,seq.10818.36,seq_10818_36,ASM,Sphingomyelin phosphodiesterase,P17405,6609,SMPD1
27,seq.10880.38,seq_10880_38,F163B,Protein FAM163B,P0C2L3,642968,FAM163B
28,seq.10902.53,seq_10902_53,APRV1,Retroviral-like aspartic protease 1,Q53RT3,151516,ASPRV1
29,seq.10949.59,seq_10949_59,RLA2,60S acidic ribosomal protein P2,P05387,6181,RPLP2
30,seq.10967.12,seq_10967_12,PRL,Prolactin,P01236,5617,PRL
31,seq.10970.3,seq_10970_3,NAR3,Ecto-ADP-ribosyltransferase 3,Q13508,419,ART3
32,seq.10975.59,seq_10975_59,MUCL1,Mucin-like protein 1,Q96DR8,118430,MUCL1
33,seq.10978.39,seq_10978_39,SOM2,Growth hormone variant,P01242,2689,GH2
34,seq.10980.11,seq_10980_11,ACES,Acetylcholinesterase,P22303,43,ACHE
35,seq.10981.56,seq_10981_56,NRG3,"Pro-neuregulin-3, membrane-bound isoform",P56975,10718,NRG3
36,seq.11083.23,seq_11083_23,NSE,Gamma-enolase,P09104,2026,ENO2
37,seq.11098.1,seq_11098_1,PDXK,Pyridoxal kinase,O00764,8566,PDXK
38,seq.11104.13,seq_11104_13,YKL-40,Chitinase-3-like protein 1,P36222,1116,CHI3L1
39,seq.11105.171,seq_11105_171,Alpha enolase,Alpha-enolase,P06733,2023,ENO1
40,seq.11109.56,seq_11109_56,SVEP1:Sushi 15-18,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1:Sushi 15-18",Q4LDE5,79987,SVEP1
41,seq.11177.16,seq_11177_16,K2C5,"Keratin, type II cytoskeletal 5",P13647,3852,KRT5
42,seq.11186.12,seq_11186_12,TMM52,Transmembrane protein 52,Q8NDY8,339456,TMEM52
43,seq.11203.97,seq_11203_97,KPYR,Pyruvate kinase PKLR,P30613,5313,PKLR
44,seq.11211.7,seq_11211_7,TBCE,Tubulin-specific chaperone E,Q15813,6905,TBCE
45,seq.11215.6,seq_11215_6,CAD15:CD,Cadherin-15:Cytoplasmic domain,P55291,1013,CDH15
46,seq.11219.95,seq_11219_95,FGFP3,Fibroblast growth factor-binding protein 3,Q8TAT2,143282,FGFBP3
47,seq.11232.46,seq_11232_46,Holo-TC I,Transcobalamin-1,P20061,6947,TCN1
48,seq.11246.3,seq_11246_3,LPLC1,BPI fold-containing family B member 1,Q8TDL5,92747,BPIFB1
49,seq.11257.1,seq_11257_1,DHPR,Dihydropteridine reductase,P09417,5860,QDPR
50,seq.11293.14,seq_11293_14,LRRN1:CD,Leucine-rich repeat neuronal protein 1:Cytoplasmic domain,Q6UXK5,57633,LRRN1
51,seq.11318.20,seq_11318_20,Apo A-V,Apolipoprotein A-V,Q6Q788,116519,APOA5
52,seq.11320.29,seq_11320_29,CHFR,E3 ubiquitin-protein ligase CHFR,Q96EP1,55743,CHFR
53,seq.11351.233,seq_11351_233,NHEJ1,Non-homologous end-joining factor 1,Q9H9Q4,79840,NHEJ1
54,seq.11354.21,seq_11354_21,Phospholipase C-beta-1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",Q9NQ66,23236,PLCB1
55,seq.11402.17,seq_11402_17,KMT2C,Histone-lysine N-methyltransferase 2C,Q8NEZ4,58508,KMT2C
56,seq.11450.110,seq_11450_110,Protein disulfide-isomerase,Protein disulfide-isomerase,P07237,5034,P4HB
57,seq.11481.25,seq_11481_25,TIMD3,Hepatitis A virus cellular receptor 2,Q8TDQ0,84868,HAVCR2
58,seq.11487.4,seq_11487_4,Testican-1,Testican-1,Q08629,6695,SPOCK1
59,seq.11513.92,seq_11513_92,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,P28907,952,CD38
60,seq.11544.39,seq_11544_39,PHF3,PHD finger protein 3,Q92576,23469,PHF3
61,seq.11547.84,seq_11547_84,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase",O15146,4593,MUSK
62,seq.11548.84,seq_11548_84,MPIP1,M-phase inducer phosphatase 1,P30304,993,CDC25A
63,seq.11557.3,seq_11557_3,SMUF1,E3 ubiquitin-protein ligase SMURF1,Q9HCE7,57154,SMURF1
64,seq.11568.2,seq_11568_2,FKB1B,Peptidyl-prolyl cis-trans isomerase FKBP1B,P68106,2281,FKBP1B
65,seq.11643.73,seq_11643_73,DTX3L,E3 ubiquitin-protein ligase DTX3L,Q8TDB6,151636,DTX3L
66,seq.11654.77,seq_11654_77,NRSN1,Neurensin-1,Q8IZ57,140767,NRSN1
67,seq.11827.7,seq_11827_7,RORG,Nuclear receptor ROR-gamma,P51449,6097,RORC
68,seq.11949.25,seq_11949_25,EGF:CD,Epidermal growth factor:Cytoplasmic domain,P01133,1950,EGF
69,seq.12343.14,seq_12343_14,CENB2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Q15057,23527,ACAP2
70,seq.12352.70,seq_12352_70,ARRD3,Arrestin domain-containing protein 3,Q96B67,57561,ARRDC3
71,seq.12384.92,seq_12384_92,CSN7B,COP9 signalosome complex subunit 7b,Q9H9Q2,64708,COPS7B
72,seq.12385.4,seq_12385_4,CAN3,Calpain-3,P20807,825,CAPN3
73,seq.12459.13,seq_12459_13,PKHA1,Pleckstrin homology domain-containing family A member 1,Q9HB21,59338,PLEKHA1
74,seq.12462.20,seq_12462_20,SETMR,Histone-lysine N-methyltransferase SETMAR,Q53H47,6419,SETMAR
75,seq.12478.15,seq_12478_15,RL30,60S ribosomal protein L30,P62888,6156,RPL30
76,seq.12501.10,seq_12501_10,TBCA,Tubulin-specific chaperone A,O75347,6902,TBCA
77,seq.12534.10,seq_12534_10,CACO2,Calcium-binding and coiled-coil domain-containing protein 2,Q13137,10241,CALCOCO2
78,seq.12549.33,seq_12549_33,PTGD2,Hematopoietic prostaglandin D synthase,O60760,27306,HPGDS
79,seq.12554.10,seq_12554_10,RA51D,DNA repair protein RAD51 homolog 4,O75771,5892,RAD51D
80,seq.12569.25,seq_12569_25,TCP-1-epsilon,T-complex protein 1 subunit epsilon,P48643,22948,CCT5
81,seq.12628.31,seq_12628_31,LANC2,LanC-like protein 2,Q9NS86,55915,LANCL2
82,seq.12635.9,seq_12635_9,TRDMT,tRNA (cytosine(38)-C(5))-methyltransferase,O14717,1787,TRDMT1
83,seq.12657.2,seq_12657_2,FCL,GDP-L-fucose synthase,Q13630,7264,TSTA3
84,seq.12705.9,seq_12705_9,HERC1,Probable E3 ubiquitin-protein ligase HERC1,Q15751,8925,HERC1
85,seq.12711.19,seq_12711_19,CXA8,Gap junction alpha-8 protein,P48165,2703,GJA8
86,seq.12715.30,seq_12715_30,DCP1B,mRNA-decapping enzyme 1B,Q8IZD4,196513,DCP1B
87,seq.12737.12,seq_12737_12,PLSI,Plastin-1,Q14651,5357,PLS1
88,seq.12742.160,seq_12742_160,TMM8B,Transmembrane protein 8B,A6NDV4,51754,TMEM8B
89,seq.12787.47,seq_12787_47,ZN134,Zinc finger protein 134,P52741,7693,ZNF134
90,seq.12801.33,seq_12801_33,IRF2,Interferon regulatory factor 2,P14316,3660,IRF2
91,seq.12804.5,seq_12804_5,GMEB2,Glucocorticoid modulatory element-binding protein 2,Q9UKD1,26205,GMEB2
92,seq.12826.5,seq_12826_5,SC5A5,Sodium/iodide cotransporter,Q92911,6528,SLC5A5
93,seq.12849.25,seq_12849_25,GSKIP,GSK3-beta interaction protein,Q9P0R6,51527,GSKIP
94,seq.12854.3,seq_12854_3,TEAD3,Transcriptional enhancer factor TEF-5,Q99594,7005,TEAD3
95,seq.12881.17,seq_12881_17,RDH16,Retinol dehydrogenase 16,O75452,8608,RDH16
96,seq.12976.49,seq_12976_49,Vinexin b,Vinexin b,O60504,10174,SORBS3
97,seq.12980.31,seq_12980_31,RBM22,Pre-mRNA-splicing factor RBM22,Q9NW64,55696,RBM22
98,seq.12988.49,seq_12988_49,EWS,RNA-binding protein EWS,Q01844,2130,EWSR1
99,seq.13054.87,seq_13054_87,Profilin II,Profilin-2,P35080,5217,PFN2
100,seq.13102.1,seq_13102_1,FAM3D,Protein FAM3D,Q96BQ1,131177,FAM3D
101,seq.13113.7,seq_13113_7,Osteopontin,Osteopontin,P10451,6696,SPP1
102,seq.13118.5,seq_13118_5,SMOC1,SPARC-related modular calcium-binding protein 1,Q9H4F8,64093,SMOC1
103,seq.13268.45,seq_13268_45,WNT5A,Protein Wnt-5a,P41221,7474,WNT5A
104,seq.13377.3,seq_13377_3,C56D1,Cytochrome b561 domain-containing protein 1,Q8N8Q1,284613,CYB561D1
105,seq.13388.57,seq_13388_57,NEC1,Neuroendocrine convertase 1,P29120,5122,PCSK1
106,seq.13397.88,seq_13397_88,HBD-2,Beta-defensin 4A,O15263,100289462,DEFB4A
107,seq.13416.8,seq_13416_8,T132D,Transmembrane protein 132D,Q14C87,121256,TMEM132D
108,seq.13432.9,seq_13432_9,ZFY27:CD region 1,"Protrudin:Cytoplasmic domain, region 1, isoform 6",Q5T4F4,118813,ZFYVE27
109,seq.13453.2,seq_13453_2,RM33,"39S ribosomal protein L33, mitochondrial",O75394,9553,MRPL33
110,seq.13460.4,seq_13460_4,CHAD,Chondroadherin,O15335,1101,CHAD
111,seq.13465.5,seq_13465_5,CCP1,Calcipressin-1,P53805,1827,RCAN1
112,seq.13499.30,seq_13499_30,Coagulation Factor VIII,Coagulation Factor VIII,P00451,2157,F8
113,seq.13563.259,seq_13563_259,ACBD7,Acyl-CoA-binding domain-containing protein 7,Q8N6N7,414149,ACBD7
114,seq.13589.10,seq_13589_10,APBB3:PID 2,"Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 2, Isoform IV",O95704,10307,APBB3
115,seq.13609.11,seq_13609_11,GTF2I,General transcription factor II-I,P78347,2969,GTF2I
116,seq.13614.6,seq_13614_6,CREB-binding protein,CREB-binding protein,Q92793,1387,CREBBP
117,seq.13651.54,seq_13651_54,ZFP91,E3 ubiquitin-protein ligase ZFP91,Q96JP5,80829,ZFP91
118,seq.13652.2,seq_13652_2,TM1L1,TOM1-like protein 1,O75674,10040,TOM1L1
119,seq.13653.335,seq_13653_335,MACD1,O-acetyl-ADP-ribose deacetylase MACROD1,Q9BQ69,28992,MACROD1
120,seq.13670.81,seq_13670_81,GIIE,Group IIE secretory phospholipase A2,Q9NZK7,30814,PLA2G2E
121,seq.13678.169,seq_13678_169,Factor D,Complement factor D,P00746,1675,CFD
122,seq.13697.51,seq_13697_51,GPDA,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",P21695,2819,GPD1
123,seq.13707.27,seq_13707_27,SPARCL1,SPARC-like protein 1,Q14515,8404,SPARCL1
124,seq.13732.79,seq_13732_79,Cardiotrophin-1,Cardiotrophin-1,Q16619,1489,CTF1
125,seq.13741.36,seq_13741_36,IGFBP-1,Insulin-like growth factor-binding protein 1,P08833,3484,IGFBP1
126,seq.13933.276,seq_13933_276,NAB1,NGFI-A-binding protein 1,Q13506,4664,NAB1
127,seq.14023.84,seq_14023_84,BSP,Bone sialoprotein 2,P21815,3381,IBSP
128,seq.14032.2,seq_14032_2,VEGF121,"Vascular endothelial growth factor A, isoform 121",P15692,7422,VEGFA
129,seq.14042.11,seq_14042_11,SARP-2,Secreted frizzled-related protein 1,Q8N474,6422,SFRP1
130,seq.14073.31,seq_14073_31,Hemopexin,Hemopexin,P02790,3263,HPX
131,seq.14077.6,seq_14077_6,Ficolin-3,Ficolin-3,O75636,8547,FCN3
132,seq.14085.28,seq_14085_28,IL-13,Interleukin-13,P35225,3596,IL13
133,seq.14086.11,seq_14086_11,ASM3A,Acid sphingomyelinase-like phosphodiesterase 3a,Q92484,10924,SMPDL3A
134,seq.14091.42,seq_14091_42,Carbonyl reductase 3,Carbonyl reductase [NADPH] 3,O75828,874,CBR3
135,seq.14100.63,seq_14100_63,C1QC,Complement C1q subcomponent subunit C,P02747,714,C1QC
136,seq.14101.2,seq_14101_2,CNTFR alpha,Ciliary neurotrophic factor receptor subunit alpha,P26992,1271,CNTFR
137,seq.14114.18,seq_14114_18,PIANP,PILR alpha-associated neural protein,Q8IYJ0,196500,PIANP
138,seq.14127.240,seq_14127_240,IFN-b,Interferon beta,P01574,3456,IFNB1
139,seq.14128.121,seq_14128_121,IFN10,Interferon alpha-10,P01566,3446,IFNA10
140,seq.14133.93,seq_14133_93,IL-1 sRII,Interleukin-1 receptor type 2,P27930,7850,IL1R2
141,seq.14136.234,seq_14136_234,C1QR1,Complement component C1q receptor,Q9NPY3,22918,CD93
142,seq.14148.2,seq_14148_2,UCRP,Ubiquitin-like protein ISG15,P05161,9636,ISG15
143,seq.14153.8,seq_14153_8,Ephrin-A3,Ephrin-A3,P52797,1944,EFNA3
144,seq.14227.21,seq_14227_21,MYL6B,Myosin light chain 6B,P14649,140465,MYL6B
145,seq.14250.115,seq_14250_115,BLMH,Bleomycin hydrolase,Q13867,642,BLMH
146,seq.14254.27,seq_14254_27,PTN4,Tyrosine-protein phosphatase non-receptor type 4,P29074,5775,PTPN4
147,seq.14309.8,seq_14309_8,HNRH1,Heterogeneous nuclear ribonucleoprotein H,P31943,3187,HNRNPH1
148,seq.14318.1,seq_14318_1,VPS29,Vacuolar protein sorting-associated protein 29,Q9UBQ0,51699,VPS29
149,seq.14337.1,seq_14337_1,TPPC3,Trafficking protein particle complex subunit 3,O43617,27095,TRAPPC3
150,seq.14616.16,seq_14616_16,ZN382,Zinc finger protein 382,Q96SR6,84911,ZNF382
151,seq.14631.22,seq_14631_22,DUS16,Dual specificity protein phosphatase 16,Q9BY84,80824,DUSP16
152,seq.15304.1,seq_15304_1,PAP1,Regenerating islet-derived protein 3-alpha,Q06141,5068,REG3A
153,seq.15321.8,seq_15321_8,CPLX2,Complexin-2,Q6PUV4,10814,CPLX2
154,seq.15339.32,seq_15339_32,COF2,Cofilin-2,Q9Y281,1073,CFL2
155,seq.15343.337,seq_15343_337,"Kininogen, HMW, Two Chain","Kininogen, HMW, Two Chain",P01042,3827,KNG1
156,seq.15363.32,seq_15363_32,Apo A-V,Apolipoprotein A-V,Q6Q788,116519,APOA5
157,seq.15386.7,seq_15386_7,FABPA,"Fatty acid-binding protein, adipocyte",P15090,2167,FABP4
158,seq.15388.24,seq_15388_24,FcRIIIa,Low affinity immunoglobulin gamma Fc region receptor III-A,P08637,2214,FCGR3A
159,seq.15402.2,seq_15402_2,ID-1,DNA-binding protein inhibitor ID-1,P41134,3397,ID1
160,seq.15447.45,seq_15447_45,Sorbitol dehydrogenase,Sorbitol dehydrogenase,Q00796,6652,SORD
161,seq.15457.14,seq_15457_14,Aminopeptidase N,Aminopeptidase N,P15144,290,ANPEP
162,seq.15470.11,seq_15470_11,Hexosaminidase B,Beta-hexosaminidase subunit beta,P07686,3074,HEXB
163,seq.15475.4,seq_15475_4,PLTP,Phospholipid transfer protein,P55058,5360,PLTP
164,seq.15481.45,seq_15481_45,LL-37,Antibacterial protein LL-37,P49913,820,CAMP
165,seq.15486.126,seq_15486_126,ABP1,Amiloride-sensitive amine oxidase [copper-containing],P19801,26,AOC1
166,seq.15495.9,seq_15495_9,FOLR3,Folate receptor gamma,P41439,2352,FOLR3
167,seq.15503.20,seq_15503_20,Lefty-A,Left-right determination factor 2,O00292,7044,LEFTY2
168,seq.15511.37,seq_15511_37,NPTXR,Neuronal pentraxin receptor,O95502,23467,NPTXR
169,seq.15521.4,seq_15521_4,Alcadein alpha-1,Calsyntenin-1,O94985,22883,CLSTN1
170,seq.15522.2,seq_15522_2,GAPR1,Golgi-associated plant pathogenesis-related protein 1,Q9H4G4,152007,GLIPR2
171,seq.15529.33,seq_15529_33,Cysteine-rich protein 1,Cysteine and glycine-rich protein 1,P21291,1465,CSRP1
172,seq.15539.15,seq_15539_15,SLIK1,SLIT and NTRK-like protein 1,Q96PX8,114798,SLITRK1
173,seq.15559.5,seq_15559_5,ANTR2,Anthrax toxin receptor 2,P58335,118429,ANTXR2
174,seq.15569.15,seq_15569_15,Collagen II,Collagen Type II,P02458,1280,COL2A1
175,seq.15570.99,seq_15570_99,Complement receptor type 2,Complement receptor type 2,P20023,1380,CR2
176,seq.15573.110,seq_15573_110,CSPG3,Neurocan core protein,O14594,1463,NCAN
177,seq.15594.47,seq_15594_47,HTRA1,Serine protease HTRA1,Q92743,5654,HTRA1
178,seq.15602.43,seq_15602_43,IL-6 sRa,Interleukin-6 receptor subunit alpha,P08887,3570,IL6R
179,seq.15626.223,seq_15626_223,Perlecan,Basement membrane-specific heparan sulfate proteoglycan core protein,P98160,3339,HSPG2
180,seq.15640.54,seq_15640_54,TAGL,Transgelin,Q01995,6876,TAGLN
181,seq.15653.9,seq_15653_9,COAA1,Collagen alpha-1(X) chain,Q03692,1300,COL10A1
182,seq.16057.6,seq_16057_6,IGF-II receptor,Cation-independent mannose-6-phosphate receptor,P11717,3482,IGF2R
183,seq.16292.288,seq_16292_288,GIP,Gastric inhibitory polypeptide,P09681,2695,GIP
184,seq.16304.6,seq_16304_6,LGR4,Leucine-rich repeat-containing G-protein coupled receptor 4,Q9BXB1,55366,LGR4
185,seq.16315.105,seq_16315_105,VEGF sR1,Vascular endothelial growth factor receptor 1,P17948,2321,FLT1
186,seq.16614.27,seq_16614_27,RSPO1,R-spondin-1,Q2MKA7,284654,RSPO1
187,seq.16763.11,seq_16763_11,LECT2,Leukocyte cell-derived chemotaxin-2,O14960,3950,LECT2
188,seq.16810.3,seq_16810_3,RhoGDI,Rab GDP dissociation inhibitor alpha,P31150,2664,GDI1
189,seq.16818.200,seq_16818_200,CDCP1,CUB domain-containing protein 1,Q9H5V8,64866,CDCP1
190,seq.16859.100,seq_16859_100,SHLB1,Endophilin-B1,Q9Y371,51100,SH3GLB1
191,seq.16892.23,seq_16892_23,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Q13822,5168,ENPP2
192,seq.16908.5,seq_16908_5,OMGP,Oligodendrocyte-myelin glycoprotein,P23515,4974,OMG
193,seq.16926.44,seq_16926_44,"Alkaline phosphatase, liver","Alkaline phosphatase, tissue-nonspecific isozyme",P05186,249,ALPL
194,seq.17145.1,seq_17145_1,S100A8/S100A9,Protein S100-A8/A9 heterodimer,P05109|P06702,6279|6280,S100A8|S100A9
195,seq.17170.15,seq_17170_15,CALCB,Calcitonin gene-related peptide 2,P10092,797,CALCB
196,seq.17199.43,seq_17199_43,HIF1N,Hypoxia-inducible factor 1-alpha inhibitor,Q9NWT6,55662,HIF1AN
197,seq.17337.1,seq_17337_1,TYY1,Transcriptional repressor protein YY1,P25490,7528,YY1
198,seq.17344.23,seq_17344_23,STML1,Stomatin-like protein 1,Q9UBI4,9399,STOML1
199,seq.17346.61,seq_17346_61,FDSCP,Follicular dendritic cell secreted peptide,Q8NFU4,260436,FDCSP
200,seq.17377.1,seq_17377_1,Aldose reductase-like C3,Aldo-keto reductase family 1 member C3,P42330,8644,AKR1C3
201,seq.17404.5,seq_17404_5,ARL5B,ADP-ribosylation factor-like protein 5B,Q96KC2,221079,ARL5B
202,seq.17408.2,seq_17408_2,PMM1,Phosphomannomutase 1,Q92871,5372,PMM1
203,seq.17419.17,seq_17419_17,TES,Testin,Q9UGI8,26136,TES
204,seq.17441.4,seq_17441_4,"Alkaline phosphatase, intestine",Intestinal-type alkaline phosphatase,P09923,248,ALPI
205,seq.17447.52,seq_17447_52,SFRP4,Secreted frizzled-related protein 4,Q6FHJ7,6424,SFRP4
206,seq.17495.141,seq_17495_141,SIR3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",Q9NTG7,23410,SIRT3
207,seq.17672.184,seq_17672_184,Gastric intrinsic factor,Gastric intrinsic factor,P27352,2694,CBLIF
208,seq.17706.4,seq_17706_4,PPR1A,Protein phosphatase 1 regulatory subunit 1A,Q13522,5502,PPP1R1A
209,seq.17738.7,seq_17738_7,CRNN,Cornulin,Q9UBG3,49860,CRNN
210,seq.17761.2,seq_17761_2,NUDT5,ADP-sugar pyrophosphatase,Q9UKK9,11164,NUDT5
211,seq.17775.8,seq_17775_8,TAGL3,Transgelin-3,Q9UI15,29114,TAGLN3
212,seq.17777.31,seq_17777_31,SDSL,Serine dehydratase-like,Q96GA7,113675,SDSL
213,seq.17782.23,seq_17782_23,THIK,"3-ketoacyl-CoA thiolase, peroxisomal",P09110,30,ACAA1
214,seq.17796.15,seq_17796_15,IMPA1,Inositol monophosphatase 1,P29218,3612,IMPA1
215,seq.18156.7,seq_18156_7,ATG3,Ubiquitin-like-conjugating enzyme ATG3,Q9NT62,64422,ATG3
216,seq.18166.4,seq_18166_4,RHOB,Rho-related GTP-binding protein RhoB,P62745,388,RHOB
217,seq.18175.65,seq_18175_65,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,Q99536,10493,VAT1
218,seq.18179.56,seq_18179_56,SPSY,Spermine synthase,P52788,6611,SMS
219,seq.18185.118,seq_18185_118,ALDOB,Fructose-bisphosphate aldolase B,P05062,229,ALDOB
220,seq.18308.30,seq_18308_30,STXB6,Syntaxin-binding protein 6,Q8NFX7,29091,STXBP6
221,seq.18310.26,seq_18310_26,SELW,Selenoprotein W,P63302,6415,SELENOW
222,seq.18332.17,seq_18332_17,CPLX1,Complexin-1,O14810,10815,CPLX1
223,seq.18337.4,seq_18337_4,GMDS,"GDP-mannose 4,6 dehydratase",O60547,2762,GMDS
224,seq.18376.19,seq_18376_19,Myosin light chain 1,Myosin light chain 3,P08590,4634,MYL3
225,seq.18380.78,seq_18380_78,Albumin,Serum albumin,P02768,213,ALB
226,seq.18382.109,seq_18382_109,Catechol O-methyltransferase,Catechol O-methyltransferase,P21964,1312,COMT
227,seq.18395.5,seq_18395_5,ADPRH,[Protein ADP-ribosylarginine] hydrolase,P54922,141,ADPRH
228,seq.18396.10,seq_18396_10,AES,Amino-terminal enhancer of split,Q08117,166,TLE5
229,seq.18821.9,seq_18821_9,C4a,C4a anaphylatoxin,P0C0L4|P0C0L5,720|100293534,C4A|C4B
230,seq.18824.7,seq_18824_7,IF4A2,Eukaryotic initiation factor 4A-II,Q14240,1974,EIF4A2
231,seq.18859.7,seq_18859_7,4EBP3,Eukaryotic translation initiation factor 4E-binding protein 3,O60516,8637,EIF4EBP3
232,seq.18860.2,seq_18860_2,CaMKK alpha,Calcium/calmodulin-dependent protein kinase kinase 1,Q8N5S9,84254,CAMKK1
233,seq.18864.7,seq_18864_7,TRY3,Trypsin-3,P35030,5646,PRSS3
234,seq.18880.81,seq_18880_81,Collagen Type III,Collagen Type III,P02461,1281,COL3A1
235,seq.18896.23,seq_18896_23,H6ST3,Heparan-sulfate 6-O-sulfotransferase 3,Q8IZP7,266722,HS6ST3
236,seq.18930.28,seq_18930_28,SLIT2,Slit homolog 2 protein,O94813,9353,SLIT2
237,seq.19135.5,seq_19135_5,Cytosolic 5'-nucleotidase III-like protein,7-methylguanosine phosphate-specific 5'-nucleotidase,Q969T7,115024,NT5C3B
238,seq.19141.22,seq_19141_22,DAP1,Death-associated protein 1,P51397,1611,DAP
239,seq.19174.141,seq_19174_141,GOGA7,Golgin subfamily A member 7,Q7Z5G4,51125,GOLGA7
240,seq.19252.67,seq_19252_67,PSB2,Proteasome subunit beta type-2,P49721,5690,PSMB2
241,seq.19270.26,seq_19270_26,SYYC,"Tyrosine--tRNA ligase, cytoplasmic",P54577,8565,YARS1
242,seq.19323.1,seq_19323_1,RCAS1,Receptor-binding cancer antigen expressed on SiSo cells,O00559,9166,EBAG9
243,seq.19347.37,seq_19347_37,Carbonic Anhydrase XII,Carbonic anhydrase 12,O43570,771,CA12
244,seq.19369.17,seq_19369_17,GCNL2,Histone acetyltransferase KAT2A,Q92830,2648,KAT2A
245,seq.19372.7,seq_19372_7,MDGA2,MAM domain-containing glycosylphosphatidylinositol anchor protein 2,Q7Z553,161357,MDGA2
246,seq.19381.7,seq_19381_7,RGS21,Regulator of G-protein signaling 21,Q2M5E4,431704,RGS21
247,seq.19448.104,seq_19448_104,UPP1,Uridine phosphorylase 1,Q16831,7378,UPP1
248,seq.19482.11,seq_19482_11,HDHD3,Haloacid dehalogenase-like hydrolase domain-containing protein 3,Q9BSH5,81932,HDHD3
249,seq.19553.14,seq_19553_14,STX1a,Syntaxin-1A,Q16623,6804,STX1A
250,seq.19557.3,seq_19557_3,KLOTB,Beta-klotho,Q86Z14,152831,KLB
251,seq.19563.3,seq_19563_3,SEZ6L,Seizure 6-like protein,Q9BYH1,23544,SEZ6L
252,seq.19567.1,seq_19567_1,EGFRvIII,Epidermal growth factor receptor variant III,P00533,1956,EGFR
253,seq.19590.46,seq_19590_46,SP-D,Pulmonary surfactant-associated protein D,P35247,6441,SFTPD
254,seq.19606.28,seq_19606_28,ihh,Indian hedgehog protein,Q14623,3549,IHH
