Field_ID,Category,Detail_Category,Description,Variable_Type,Observed_Min,Observed_P01,Observed_Median,Observed_P99,Observed_Max,Observed_Integer_Only,Observed_Allowed_Values,Unit,Unit_Source,Recommended_Data_Type,Recommended_Hard_Min,Recommended_Hard_Max,Recommended_Allowed_Values,Recommended_Missing_Rate,Observed_Decimal_Places_P95,Recommended_Decimal_Places
23127,Physical measures,Body composition by impedance,Trunk fat percentage,continuous,3,11.677,31.1,49.023,61.7,FALSE,,%,schema Prompts,continuous_numeric,3,61.7,,0.0222,1,1
23128,Physical measures,Body composition by impedance,Trunk fat mass,continuous,1,3.8,13.2,28.023,49.5,FALSE,,kg,schema Prompts,continuous_numeric,1,49.5,,0.0222,1,1
23129,Physical measures,Body composition by impedance,Trunk fat-free mass,continuous,16,20.3,28.1,43.9,52.3,FALSE,,kg,schema Prompts,continuous_numeric,16,52.3,,0.0225,1,1
23130,Physical measures,Body composition by impedance,Trunk predicted mass,continuous,15.4,19.4,26.9,42.2,50.3,FALSE,,kg,schema Prompts,continuous_numeric,15.4,50.3,,0.0225,1,1
23105,Physical measures,Body composition by impedance,Basal metabolic rate,continuous,3665,4556,6339,10217,13602,TRUE,,kJ/day,field meaning + schema prompt,continuous_numeric,3665,13602,,0.0218,0,0
23099,Physical measures,Body composition by impedance,Body fat percentage,continuous,5.4,13.1,31.1,50,59,FALSE,,%,schema Prompts,continuous_numeric,5.4,59,,0.022,1,1
23100,Physical measures,Body composition by impedance,Whole body fat mass,continuous,5.1,8.5,23.3,54.693,87.9,FALSE,,kg,semantic correction,continuous_numeric,5.1,87.9,,0.023,1,1
23101,Physical measures,Body composition by impedance,Whole body fat-free mass,continuous,28.6,35.8,50.3,81.3,97.5,FALSE,,kg,schema Prompts,continuous_numeric,28.6,97.5,,0.0218,1,1
23102,Physical measures,Body composition by impedance,Whole body water mass,continuous,20.9,26.2,36.9,59.6,73.6,FALSE,,kg,schema Prompts,continuous_numeric,20.9,73.6,,0.0217,1,1
23106,Physical measures,Body composition by impedance,Impedance of whole body,continuous,314,426,595,809,973,TRUE,,ohm,schema Prompts,continuous_numeric,314,973,,0.0218,0,0
23110,Physical measures,Body composition by impedance,Impedance of arm (left),continuous,174,229,329,468,703,TRUE,,ohm,schema Prompts,continuous_numeric,174,703,,0.0218,0,0
23109,Physical measures,Body composition by impedance,Impedance of arm (right),continuous,116,226,322,461,992,TRUE,,ohm,schema Prompts,continuous_numeric,116,992,,0.0218,0,0
23108,Physical measures,Body composition by impedance,Impedance of leg (left),continuous,102,167.81,247,335,469,TRUE,,ohm,schema Prompts,continuous_numeric,102,469,,0.0218,0,0
23107,Physical measures,Body composition by impedance,Impedance of leg (right),continuous,108,166.81,246,334,446,TRUE,,ohm,schema Prompts,continuous_numeric,108,446,,0.0218,0,0
3062,Physical measures,Spirometry,Forced vital capacity (FVC),continuous,0.133333333,1.524333333,3.47,6.146166667,17.00666667,FALSE,,L,schema Prompts,continuous_numeric,0.133333333,17.00666667,,0.0969,9,6
3063,Physical measures,Spirometry,Forced expiratory volume in 1-second (FEV1),continuous,0.123333333,1.063,2.65,4.694666667,6.17,FALSE,,L,schema Prompts,continuous_numeric,0.123333333,6.17,,0.0969,9,6
20258,Physical measures,Spirometry,FEV1/ FVC ratio Z-score,continuous z-score,-3.687,-1.44681,0.358,3.17411,4.931,FALSE,,z-score,schema Description/Prompts,continuous_z_score,-3.687,4.931,,0.2436,3,3
3064,Physical measures,Spirometry,Peak expiratory flow (PEF),continuous,9.333333333,92.43333333,357.3333333,706.45,1340.5,FALSE,,L/min,schema Prompts,continuous_numeric,9.333333333,1340.5,,0.0969,7,6
20022,Physical measures,Early life factors,Birth weight,continuous,0.45,1.36,3.32,4.82,6.97,FALSE,,kg,schema Prompts,continuous_numeric,0.45,6.97,,0.4484,2,2
2634,Lifestyle,Physical activity,Duration of heavy DIY,categorical,1,1,3,7,7,TRUE,"[1, 2, 3, 4, 5, 6, 7]",category code,schema variable type + observed values,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0.6208,0,0
2624,Lifestyle,Physical activity,Frequency of heavy DIY in last 4 weeks,categorical,1,1,2,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.6215,0,0
1021,Lifestyle,Physical activity,Duration of light DIY,categorical,1,1,3,7,7,TRUE,"[1, 2, 3, 4, 5, 6, 7]",category code,schema variable type + observed values,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0.5248,0,0
1011,Lifestyle,Physical activity,Frequency of light DIY in last 4 weeks,categorical,1,1,3,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.5217,0,0
894,Lifestyle,Physical activity,Duration of moderate activity,continuous,0,7,40,360,950,TRUE,,minutes/day,schema Prompts,continuous_numeric,0,950,,0.2605,0,0
3647,Lifestyle,Physical activity,Duration of other exercises,categorical,1,1,3,7,7,TRUE,"[1, 2, 3, 4, 5, 6, 7]",category code,schema variable type + observed values,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0.5332,0,0
3637,Lifestyle,Physical activity,Frequency of other exercises in last 4 weeks,categorical,1,1,4,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.5341,0,0
914,Lifestyle,Physical activity,Duration of vigorous activity,continuous,0,1,30,240,720,TRUE,,minutes/day,schema Prompts,continuous_numeric,0,720,,0.4661,0,0
874,Lifestyle,Physical activity,Duration of walks,continuous,0,5,30,420,1260,TRUE,,minutes/day,schema Prompts,continuous_numeric,0,1260,,0.1559,0,0
981,Lifestyle,Physical activity,Duration walking for pleasure,categorical,1,1,3,7,7,TRUE,"[1, 2, 3, 4, 5, 6, 7]",category code,schema variable type + observed values,categorical_integer_code,1,7,"[1, 2, 3, 4, 5, 6, 7]",0.3025,0,0
971,Lifestyle,Physical activity,Frequency of walking for pleasure in last 4 weeks,categorical,1,1,3,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.301,0,0
943,Lifestyle,Physical activity,Frequency of stair climbing in last 4 weeks,categorical,0,0,2,5,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0212,0,0
884,Lifestyle,Physical activity,Number of days/week of moderate physical activity 10+ minutes,continuous,0,0,3,7,7,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7]",days/week,schema Prompts,bounded_integer_or_count,0,7,,0.0528,0,0
904,Lifestyle,Physical activity,Number of days/week of vigorous physical activity 10+ minutes,continuous,0,0,1,7,7,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7]",days/week,schema Prompts,bounded_integer_or_count,0,7,,0.0578,0,0
864,Lifestyle,Physical activity,Number of days/week walked 10+ minutes,continuous,0,0,6,7,7,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7]",days/week,schema Prompts,bounded_integer_or_count,0,7,,0.0197,0,0
1090,Lifestyle,Physical activity,Time spent driving,continuous,0,0,0,7,20,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 20]",hours/day,schema Prompts,bounded_integer_or_count,0,20,,0.0199,0,0
1080,Lifestyle,Physical activity,Time spent using computer,continuous,0,0,1,7,14,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",hours/day,schema Prompts,bounded_integer_or_count,0,14,,0.0201,0,0
1070,Lifestyle,Physical activity,Time spent watching television (TV),continuous,0,0,3,8,24,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 18, 20, 21, 24]",hours/day,schema Prompts,bounded_integer_or_count,0,24,,0.0111,0,0
924,Lifestyle,Physical activity,Usual walking pace,categorical,1,1,2,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0091,0,0
1120,Lifestyle,Electronic device use,Weekly usage of mobile phone in last 3 months,categorical,0,0,1,5,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.1662,0,0
1130,Lifestyle,Electronic device use,Hands-free device/speakerphone use with mobile phone in last 3 month,categorical,0,0,0,4,4,TRUE,"[0, 1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,0,4,"[0, 1, 2, 3, 4]",0.1632,0,0
2237,Lifestyle,Electronic device use,Plays computer games,categorical,0,0,0,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0032,0,0
1160,Lifestyle,Sleep,Sleep duration,continuous,2,4,7,10,20,TRUE,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20]",hours/day,schema Prompts,bounded_integer_or_count,2,20,,0.0083,0,0
1170,Lifestyle,Sleep,Getting up in morning,categorical,1,1,3,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.0111,0,0
1180,Lifestyle,Sleep,Morning/evening person (chronotype),categorical,1,1,2,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.1175,0,0
1190,Lifestyle,Sleep,Nap during day,categorical,1,1,1,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0038,0,0
1200,Lifestyle,Sleep,Sleeplessness / insomnia,categorical,1,1,2,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0031,0,0
1210,Lifestyle,Sleep,Snoring,categorical,1,1,2,2,2,TRUE,"[1, 2]",category code,schema variable type + observed values,categorical_integer_code,1,2,"[1, 2]",0.0754,0,0
1220,Lifestyle,Sleep,Daytime dozing / sleeping,categorical,0,0,0,2,3,TRUE,"[0, 1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,0,3,"[0, 1, 2, 3]",0.0074,0,0
20116,Lifestyle,Smoke,Smoking status,categorical,0,0,0,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0064,0,0
1239,Lifestyle,Smoke,Current tobacco smoking,categorical,0,0,0,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0027,0,0
1249,Lifestyle,Smoke,Past tobacco smoking,categorical,1,1,3,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.0815,0,0
20161,Lifestyle,Smoke,Pack years of smoking,continuous,0,0.5,19,88.33,222,FALSE,,pack-years,field meaning,continuous_numeric,0,222,,0.7065,3,3
1259,Lifestyle,Smoke,Smoking/smokers in household,categorical,0,0,0,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0858,0,0
1269,Lifestyle,Smoke,Exposure to tobacco smoke at home,continuous,0,0,0,16,100,TRUE,,hours/week,schema Prompts,continuous_numeric,0,100,,0.1004,0,0
1279,Lifestyle,Smoke,Exposure to tobacco smoke outside home,continuous,0,0,0,8,100,TRUE,,hours/week,schema Prompts,continuous_numeric,0,100,,0.1581,0,0
1289,Lifestyle,Diet,Cooked vegetable intake,continuous,0,0,2,10,50,TRUE,,tablespoons/day,schema Prompts,continuous_numeric,0,50,,0.0174,0,0
1299,Lifestyle,Diet,Salad / raw vegetable intake,continuous,0,0,2,10,50,TRUE,,tablespoons/day,schema Prompts,continuous_numeric,0,50,,0.0182,0,0
1309,Lifestyle,Diet,Fresh fruit intake,continuous,0,0,2,7,44,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23, 25, 44]",pieces/day,schema Prompts,bounded_integer_or_count,0,44,,0.006,0,0
1319,Lifestyle,Diet,Dried fruit intake,continuous,0,0,0,8,100,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 22, 25, 30, 40, 100]",pieces/day,schema Prompts,bounded_integer_or_count,0,100,,0.014,0,0
1438,Lifestyle,Diet,Bread intake,continuous,0,0,10,40,96,TRUE,,slices/week,schema Prompts,continuous_numeric,0,96,,0.0232,0,0
1458,Lifestyle,Diet,Cereal intake,continuous,0,0,5,10,33,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20, 21, 33]",bowls/week,schema Prompts,bounded_integer_or_count,0,33,,0.0059,0,0
1488,Lifestyle,Diet,Tea intake,continuous,0,0,3,14,42,TRUE,,cups/day,schema Prompts,continuous_numeric,0,42,,0.0044,0,0
1498,Lifestyle,Diet,Coffee intake,continuous,0,0,1,8,40,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 20, 25, 28, 30, 35, 40]",cups/day,schema Prompts,bounded_integer_or_count,0,40,,0.0057,0,0
1528,Lifestyle,Diet,Water intake,continuous,0,0,2,10,30,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 20, 25, 30]",glasses/day,schema Prompts,bounded_integer_or_count,0,30,,0.0101,0,0
1518,Lifestyle,Diet,Hot drink temperature,categorical,1,1,2,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0141,0,0
1329,Lifestyle,Diet,Oily fish intake,categorical,0,0,2,4,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.008,0,0
1339,Lifestyle,Diet,Non-oily fish intake,categorical,0,0,2,3,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.008,0,0
1349,Lifestyle,Diet,Processed meat intake,categorical,0,0,2,4,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0046,0,0
1359,Lifestyle,Diet,Poultry intake,categorical,0,0,2,4,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0039,0,0
1369,Lifestyle,Diet,Beef intake,categorical,0,0,1,3,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0061,0,0
1379,Lifestyle,Diet,Lamb/mutton intake,categorical,0,0,1,3,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0086,0,0
1389,Lifestyle,Diet,Pork intake,categorical,0,0,1,3,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0094,0,0
1408,Lifestyle,Diet,Cheese intake,categorical,0,0,3,5,5,TRUE,"[0, 1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,0,5,"[0, 1, 2, 3, 4, 5]",0.0287,0,0
1478,Lifestyle,Diet,Salt added to food,categorical,1,1,1,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.0024,0,0
6144,Lifestyle,Diet,"Never eat eggs, dairy, wheat, sugar",categorical,1,1,5,5,5,TRUE,"[1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,1,5,"[1, 2, 3, 4, 5]",0.0128,0,0
20117,Lifestyle,Alcohol,Alcohol drinker status,categorical,0,0,2,2,2,TRUE,"[0, 1, 2]",category code,schema variable type + observed values,categorical_integer_code,0,2,"[0, 1, 2]",0.0033,0,0
1558,Lifestyle,Alcohol,Alcohol intake frequency.,categorical,1,1,3,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.0029,0,0
1568,Lifestyle,Alcohol,Average weekly red wine intake,continuous,0,0,2,28,80,TRUE,,glasses/week,schema Prompts,continuous_numeric,0,80,,0.311,0,0
1578,Lifestyle,Alcohol,Average weekly champagne plus white wine intake,continuous,0,0,1,21,80,TRUE,,glasses/week,schema Prompts,continuous_numeric,0,80,,0.3121,0,0
1588,Lifestyle,Alcohol,Average weekly beer plus cider intake,continuous,0,0,1,28,70,TRUE,,pints/week,schema Prompts,continuous_numeric,0,70,,0.3093,0,0
1598,Lifestyle,Alcohol,Average weekly spirits intake,continuous,0,0,0,25,100,TRUE,,measures/week,schema Prompts,continuous_numeric,0,100,,0.3113,0,0
1608,Lifestyle,Alcohol,Average weekly fortified wine intake,continuous,0,0,0,5,42,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 18, 21, 24, 42]",glasses/week,schema Prompts,bounded_integer_or_count,0,42,,0.3097,0,0
1618,Lifestyle,Alcohol,Alcohol usually taken with meals,categorical,0,0,1,1,1,TRUE,"[0, 1]",category code,schema variable type + observed values,categorical_integer_code,0,1,"[0, 1]",0.4922,0,0
1050,Lifestyle,Sun exposure,Time spend outdoors in summer,continuous,0,0,3,10,20,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20]",hours/day,schema Prompts,bounded_integer_or_count,0,20,,0.0698,0,0
1060,Lifestyle,Sun exposure,Time spent outdoors in winter,continuous,0,0,1,9,24,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 24]",hours/day,schema Prompts,bounded_integer_or_count,0,24,,0.071,0,0
1717,Lifestyle,Sun exposure,Skin colour,categorical,1,1,2,5,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.0168,0,0
1727,Lifestyle,Sun exposure,Ease of skin tanning,categorical,1,1,2,4,4,TRUE,"[1, 2, 3, 4]",category code,schema variable type + observed values,categorical_integer_code,1,4,"[1, 2, 3, 4]",0.0386,0,0
1737,Lifestyle,Sun exposure,Childhood sunburn occasions,continuous,0,0,0,15,200,TRUE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 18, 20, 24, 25, 30, 35, 40, 50, 100, 200]",occasions,field meaning,bounded_integer_or_count,0,200,,0.2544,0,0
1747,Lifestyle,Sun exposure,"Hair colour (natural, before greying)",categorical,1,1,3,6,6,TRUE,"[1, 2, 3, 4, 5, 6]",category code,schema variable type + observed values,categorical_integer_code,1,6,"[1, 2, 3, 4, 5, 6]",0.0049,0,0
1757,Lifestyle,Sun exposure,Facial ageing,categorical,1,1,1,3,3,TRUE,"[1, 2, 3]",category code,schema variable type + observed values,categorical_integer_code,1,3,"[1, 2, 3]",0.0894,0,0
2267,Lifestyle,Sun exposure,Use of sun/uv protection,categorical,1,1,3,4,5,TRUE,"[1, 2, 3, 4, 5]",category code,schema variable type + observed values,categorical_integer_code,1,5,"[1, 2, 3, 4, 5]",0.0119,0,0
2277,Lifestyle,Sun exposure,Frequency of solarium/sunlamp use,continuous,0,0,0,12,300,TRUE,,occasions,field meaning,bounded_integer_or_count,0,300,,0.022,0,0
2139,Lifestyle,Sexual factors,Age first had sexual intercourse,continuous,3,13,18,32,62,TRUE,,years,field meaning,continuous_numeric,3,62,,0.1372,0,0
2149,Lifestyle,Sexual factors,Lifetime number of sexual partners,continuous,1,1,3,50,1500,TRUE,,partners,field meaning,continuous_numeric,1,1500,,0.1974,0,0
2159,Lifestyle,Sexual factors,Ever had same-sex intercourse,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.1117,0,0
1677,Environment,Early life factors,Breastfed as a baby,binary,0,0,1,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.2291,0,0
1777,Environment,Early life factors,Part of a multiple birth,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.0187,0,0
1787,Environment,Early life factors,Maternal smoking around birth,binary,0,0,0,1,1,TRUE,"[0, 1]",binary code,schema variable type + observed values,binary_integer_code,0,1,"[0, 1]",0.1434,0,0
